Size,RunIndex,CaseName,Tool,Sequence,Scenario,MetricValue,PhaseName,MetricName,Iteration
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,7,BasicXform,117155,Modification,Time,2
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,7,BasicXform,12655264,Modification,Memory,2
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,8,BasicXform,1977114127,M2MTransformation2,Time,2
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,8,BasicXform,12910048,M2MTransformation2,Memory,2
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,8,BasicXform,850397949,M2MTransformation2,AverageMemory,2
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,8,BasicXform,1443640344,M2MTransformation2,PeakMemory,2
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,9,BasicXform,72668,Modification,Time,3
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,9,BasicXform,12910208,Modification,Memory,3
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,10,BasicXform,2208845757,M2MTransformation2,Time,3
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,10,BasicXform,13142712,M2MTransformation2,Memory,3
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,10,BasicXform,828084648,M2MTransformation2,AverageMemory,3
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,10,BasicXform,1444526008,M2MTransformation2,PeakMemory,3
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,11,BasicXform,80970,Modification,Time,4
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,11,BasicXform,13142856,Modification,Memory,4
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,12,BasicXform,2144163870,M2MTransformation2,Time,4
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,12,BasicXform,13434968,M2MTransformation2,Memory,4
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,12,BasicXform,1444857080,M2MTransformation2,PeakMemory,4
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,12,BasicXform,723172305,M2MTransformation2,AverageMemory,4
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,13,BasicXform,59554,Modification,Time,5
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,13,BasicXform,13435088,Modification,Memory,5
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,14,BasicXform,2002598251,M2MTransformation2,Time,5
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,14,BasicXform,13671712,M2MTransformation2,Memory,5
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,14,BasicXform,936006595,M2MTransformation2,AverageMemory,5
4,1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,14,BasicXform,1445059080,M2MTransformation2,PeakMemory,5
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,BasicXform,163774,EMFResourceInitialization,Time,1
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,BasicXform,11229816,EMFResourceInitialization,Memory,1
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,BasicXform,122656844,Generation,Time,1
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,BasicXform,15643936,Generation,Memory,1
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3,BasicXform,59037829,Initialization,Time,1
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3,BasicXform,13941472,Initialization,Memory,1
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3,BasicXform,54421944,Initialization,AverageMemory,1
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3,BasicXform,75896800,Initialization,PeakMemory,1
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4,BasicXform,71962658,M2MTransformation1,Time,1
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4,BasicXform,14655688,M2MTransformation1,Memory,1
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4,BasicXform,56891384,M2MTransformation1,PeakMemory,1
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4,BasicXform,46153972,M2MTransformation1,AverageMemory,1
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5,BasicXform,153153,Modification,Time,1
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5,BasicXform,14655840,Modification,Memory,1
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,6,BasicXform,59728140,M2MTransformation2,Time,1
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,6,BasicXform,14662976,M2MTransformation2,Memory,1
