Iteration,Sequence,Tool,Scenario,RunIndex,MetricValue,MetricName,PhaseName,CaseName,Size
1,6,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,17005,Time,M2MTransformation2,StatisticBasedCase,8
1,6,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,30008160,Memory,M2MTransformation2,StatisticBasedCase,8
1,6,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,51482920,PeakMemory,M2MTransformation2,StatisticBasedCase,8
1,6,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,40745640,AverageMemory,M2MTransformation2,StatisticBasedCase,8
2,7,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,1804245,Time,Modification,StatisticBasedCase,8
2,7,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,30049576,Memory,Modification,StatisticBasedCase,8
2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,18203,Time,M2MTransformation2,StatisticBasedCase,8
2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,30050448,Memory,M2MTransformation2,StatisticBasedCase,8
2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,51525208,PeakMemory,M2MTransformation2,StatisticBasedCase,8
2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,51525208,AverageMemory,M2MTransformation2,StatisticBasedCase,8
3,9,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,1678236,Time,Modification,StatisticBasedCase,8
3,9,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,30068600,Memory,Modification,StatisticBasedCase,8
3,10,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,19102,Time,M2MTransformation2,StatisticBasedCase,8
3,10,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,30069472,Memory,M2MTransformation2,StatisticBasedCase,8
3,10,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,51544232,AverageMemory,M2MTransformation2,StatisticBasedCase,8
3,10,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,51544232,PeakMemory,M2MTransformation2,StatisticBasedCase,8
4,11,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,1450019,Time,Modification,StatisticBasedCase,8
4,11,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,30087328,Memory,Modification,StatisticBasedCase,8
4,12,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,18268,Time,M2MTransformation2,StatisticBasedCase,8
4,12,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,30088224,Memory,M2MTransformation2,StatisticBasedCase,8
4,12,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,51562984,AverageMemory,M2MTransformation2,StatisticBasedCase,8
4,12,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,51562984,PeakMemory,M2MTransformation2,StatisticBasedCase,8
5,13,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,1556493,Time,Modification,StatisticBasedCase,8
5,13,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,30106280,Memory,Modification,StatisticBasedCase,8
5,14,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,18733,Time,M2MTransformation2,StatisticBasedCase,8
5,14,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,30107152,Memory,M2MTransformation2,StatisticBasedCase,8
5,14,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,51581912,PeakMemory,M2MTransformation2,StatisticBasedCase,8
5,14,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,51581912,AverageMemory,M2MTransformation2,StatisticBasedCase,8
