MetricName,PhaseName,Scenario,CaseName,Iteration,RunIndex,Size,Tool,MetricValue,Sequence
Memory,Modification,BasicXform,StatisticBasedCase,1,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,15369696,5
Time,M2MTransformation2,BasicXform,StatisticBasedCase,1,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,20278,6
Memory,M2MTransformation2,BasicXform,StatisticBasedCase,1,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,15370768,6
PeakMemory,M2MTransformation2,BasicXform,StatisticBasedCase,1,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,36845328,6
AverageMemory,M2MTransformation2,BasicXform,StatisticBasedCase,1,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,36845328,6
Time,Modification,BasicXform,StatisticBasedCase,2,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1731861,7
Memory,Modification,BasicXform,StatisticBasedCase,2,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,15389352,7
Time,M2MTransformation2,BasicXform,StatisticBasedCase,2,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,20311,8
Memory,M2MTransformation2,BasicXform,StatisticBasedCase,2,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,15390224,8
PeakMemory,M2MTransformation2,BasicXform,StatisticBasedCase,2,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,36864984,8
AverageMemory,M2MTransformation2,BasicXform,StatisticBasedCase,2,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,36864984,8
Time,Modification,BasicXform,StatisticBasedCase,3,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1415360,9
Memory,Modification,BasicXform,StatisticBasedCase,3,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,15420480,9
Time,M2MTransformation2,BasicXform,StatisticBasedCase,3,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,24021,10
Memory,M2MTransformation2,BasicXform,StatisticBasedCase,3,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,15421352,10
PeakMemory,M2MTransformation2,BasicXform,StatisticBasedCase,3,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,36896112,10
AverageMemory,M2MTransformation2,BasicXform,StatisticBasedCase,3,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,36896112,10
Time,Modification,BasicXform,StatisticBasedCase,4,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1449285,11
Memory,Modification,BasicXform,StatisticBasedCase,4,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,15440904,11
Time,M2MTransformation2,BasicXform,StatisticBasedCase,4,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,19356,12
Memory,M2MTransformation2,BasicXform,StatisticBasedCase,4,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,15441800,12
AverageMemory,M2MTransformation2,BasicXform,StatisticBasedCase,4,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,26179280,12
PeakMemory,M2MTransformation2,BasicXform,StatisticBasedCase,4,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,36916560,12
Time,Modification,BasicXform,StatisticBasedCase,5,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1492544,13
Memory,Modification,BasicXform,StatisticBasedCase,5,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,15462016,13
Time,M2MTransformation2,BasicXform,StatisticBasedCase,5,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,20893,14
Memory,M2MTransformation2,BasicXform,StatisticBasedCase,5,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,15462888,14
PeakMemory,M2MTransformation2,BasicXform,StatisticBasedCase,5,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,36937648,14
AverageMemory,M2MTransformation2,BasicXform,StatisticBasedCase,5,2,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,36937648,14
Time,EMFResourceInitialization,BasicXform,StatisticBasedCase,1,1,16,BATCH_VIATRA_QUERY_RETE-TEMPLATE,281344,1
Memory,EMFResourceInitialization,BasicXform,StatisticBasedCase,1,1,16,BATCH_VIATRA_QUERY_RETE-TEMPLATE,9647344,1
Time,Generation,BasicXform,StatisticBasedCase,1,1,16,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1566875034,2
Memory,Generation,BasicXform,StatisticBasedCase,1,1,16,BATCH_VIATRA_QUERY_RETE-TEMPLATE,52181912,2
Time,Initialization,BasicXform,StatisticBasedCase,1,1,16,BATCH_VIATRA_QUERY_RETE-TEMPLATE,257312473,3
Memory,Initialization,BasicXform,StatisticBasedCase,1,1,16,BATCH_VIATRA_QUERY_RETE-TEMPLATE,39379296,3
PeakMemory,Initialization,BasicXform,StatisticBasedCase,1,1,16,BATCH_VIATRA_QUERY_RETE-TEMPLATE,157516616,3
AverageMemory,Initialization,BasicXform,StatisticBasedCase,1,1,16,BATCH_VIATRA_QUERY_RETE-TEMPLATE,89871196,3
Time,M2MTransformation1,BasicXform,StatisticBasedCase,1,1,16,BATCH_VIATRA_QUERY_RETE-TEMPLATE,135475327,4
Memory,M2MTransformation1,BasicXform,StatisticBasedCase,1,1,16,BATCH_VIATRA_QUERY_RETE-TEMPLATE,50674176,4
AverageMemory,M2MTransformation1,BasicXform,StatisticBasedCase,1,1,16,BATCH_VIATRA_QUERY_RETE-TEMPLATE,101656784,4
PeakMemory,M2MTransformation1,BasicXform,StatisticBasedCase,1,1,16,BATCH_VIATRA_QUERY_RETE-TEMPLATE,143317936,4
Time,Modification,BasicXform,StatisticBasedCase,1,1,16,BATCH_VIATRA_QUERY_RETE-TEMPLATE,825118,5
Memory,Modification,BasicXform,StatisticBasedCase,1,1,16,BATCH_VIATRA_QUERY_RETE-TEMPLATE,50690872,5
Time,M2MTransformation2,BasicXform,StatisticBasedCase,1,1,16,BATCH_VIATRA_QUERY_RETE-TEMPLATE,143220774,6
Memory,M2MTransformation2,BasicXform,StatisticBasedCase,1,1,16,BATCH_VIATRA_QUERY_RETE-TEMPLATE,50901416,6
PeakMemory,M2MTransformation2,BasicXform,StatisticBasedCase,1,1,16,BATCH_VIATRA_QUERY_RETE-TEMPLATE,133154480,6
AverageMemory,M2MTransformation2,BasicXform,StatisticBasedCase,1,1,16,BATCH_VIATRA_QUERY_RETE-TEMPLATE,102230936,6
Time,Modification,BasicXform,StatisticBasedCase,2,1,16,BATCH_VIATRA_QUERY_RETE-TEMPLATE,697024,7
Memory,Modification,BasicXform,StatisticBasedCase,2,1,16,BATCH_VIATRA_QUERY_RETE-TEMPLATE,50918544,7
Time,M2MTransformation2,BasicXform,StatisticBasedCase,2,1,16,BATCH_VIATRA_QUERY_RETE-TEMPLATE,128066755,8
Memory,M2MTransformation2,BasicXform,StatisticBasedCase,2,1,16,BATCH_VIATRA_QUERY_RETE-TEMPLATE,50925536,8
AverageMemory,M2MTransformation2,BasicXform,StatisticBasedCase,2,1,16,BATCH_VIATRA_QUERY_RETE-TEMPLATE,102458588,8
PeakMemory,M2MTransformation2,BasicXform,StatisticBasedCase,2,1,16,BATCH_VIATRA_QUERY_RETE-TEMPLATE,154856968,8
Time,Modification,BasicXform,StatisticBasedCase,3,1,16,BATCH_VIATRA_QUERY_RETE-TEMPLATE,555586,9
Memory,Modification,BasicXform,StatisticBasedCase,3,1,16,BATCH_VIATRA_QUERY_RETE-TEMPLATE,50943200,9
Time,M2MTransformation2,BasicXform,StatisticBasedCase,3,1,16,BATCH_VIATRA_QUERY_RETE-TEMPLATE,125040367,10
Memory,M2MTransformation2,BasicXform,StatisticBasedCase,3,1,16,BATCH_VIATRA_QUERY_RETE-TEMPLATE,51213984,10
AverageMemory,M2MTransformation2,BasicXform,StatisticBasedCase,3,1,16,BATCH_VIATRA_QUERY_RETE-TEMPLATE,102483456,10
PeakMemory,M2MTransformation2,BasicXform,StatisticBasedCase,3,1,16,BATCH_VIATRA_QUERY_RETE-TEMPLATE,133407192,10
