Size,MetricValue,RunIndex,Scenario,MetricName,Tool,Sequence,CaseName,PhaseName,Iteration
64,5218654896,1,BasicXform,Memory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,7,StatisticBasedCase,Modification,2
64,4223,1,BasicXform,Time,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,8,StatisticBasedCase,M2MTransformation2,2
64,5218655744,1,BasicXform,Memory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,8,StatisticBasedCase,M2MTransformation2,2
64,5242012528,1,BasicXform,PeakMemory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,8,StatisticBasedCase,M2MTransformation2,2
64,5230334236,1,BasicXform,AverageMemory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,8,StatisticBasedCase,M2MTransformation2,2
64,2561173,1,BasicXform,Time,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,9,StatisticBasedCase,Modification,3
64,5218772024,1,BasicXform,Memory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,9,StatisticBasedCase,Modification,3
64,4010,1,BasicXform,Time,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,10,StatisticBasedCase,M2MTransformation2,3
64,5218772840,1,BasicXform,Memory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,10,StatisticBasedCase,M2MTransformation2,3
64,5242129656,1,BasicXform,PeakMemory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,10,StatisticBasedCase,M2MTransformation2,3
64,5310143140,1,BasicXform,AverageMemory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,10,StatisticBasedCase,M2MTransformation2,3
64,2589952,1,BasicXform,Time,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,11,StatisticBasedCase,Modification,4
64,5218890544,1,BasicXform,Memory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,11,StatisticBasedCase,Modification,4
64,4370,1,BasicXform,Time,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,12,StatisticBasedCase,M2MTransformation2,4
64,5218891416,1,BasicXform,Memory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,12,StatisticBasedCase,M2MTransformation2,4
