Iteration,MetricName,Scenario,Tool,PhaseName,MetricValue,RunIndex,Size,Sequence,CaseName
2,Memory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,302872664,3,64,8,StatisticBasedCase
2,PeakMemory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,1064390912,3,64,8,StatisticBasedCase
2,AverageMemory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,759585069,3,64,8,StatisticBasedCase
3,Time,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,595912,3,64,9,StatisticBasedCase
3,Memory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,302872936,3,64,9,StatisticBasedCase
3,Time,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,1101960337,3,64,10,StatisticBasedCase
3,Memory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,302878784,3,64,10,StatisticBasedCase
3,PeakMemory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,1026006888,3,64,10,StatisticBasedCase
3,AverageMemory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,772275938,3,64,10,StatisticBasedCase
4,Time,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,627917,3,64,11,StatisticBasedCase
4,Memory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,302879016,3,64,11,StatisticBasedCase
4,Time,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,1084550120,3,64,12,StatisticBasedCase
4,Memory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,302882928,3,64,12,StatisticBasedCase
4,PeakMemory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,1026012856,3,64,12,StatisticBasedCase
4,AverageMemory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,772281944,3,64,12,StatisticBasedCase
5,Time,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,376639,3,64,13,StatisticBasedCase
5,Memory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,302883160,3,64,13,StatisticBasedCase
5,Time,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,1071218656,3,64,14,StatisticBasedCase
5,Memory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,302889152,3,64,14,StatisticBasedCase
