MetricValue,Iteration,Size,Scenario,MetricName,CaseName,RunIndex,PhaseName,Sequence,Tool
9518520,1,16,BasicXform,Memory,StatisticBasedCase,2,EMFResourceInitialization,1,BATCH_OPTIMIZED-TEMPLATE
1851674631,1,16,BasicXform,Time,StatisticBasedCase,2,Generation,2,BATCH_OPTIMIZED-TEMPLATE
51980744,1,16,BasicXform,Memory,StatisticBasedCase,2,Generation,2,BATCH_OPTIMIZED-TEMPLATE
11960,1,16,BasicXform,Time,StatisticBasedCase,2,Initialization,3,BATCH_OPTIMIZED-TEMPLATE
12210312,1,16,BasicXform,Memory,StatisticBasedCase,2,Initialization,3,BATCH_OPTIMIZED-TEMPLATE
32648024,1,16,BasicXform,PeakMemory,StatisticBasedCase,2,Initialization,3,BATCH_OPTIMIZED-TEMPLATE
22429268,1,16,BasicXform,AverageMemory,StatisticBasedCase,2,Initialization,3,BATCH_OPTIMIZED-TEMPLATE
35903829666,1,16,BasicXform,Time,StatisticBasedCase,2,M2MTransformation1,4,BATCH_OPTIMIZED-TEMPLATE
16021176,1,16,BasicXform,Memory,StatisticBasedCase,2,M2MTransformation1,4,BATCH_OPTIMIZED-TEMPLATE
1450787656,1,16,BasicXform,PeakMemory,StatisticBasedCase,2,M2MTransformation1,4,BATCH_OPTIMIZED-TEMPLATE
676442601,1,16,BasicXform,AverageMemory,StatisticBasedCase,2,M2MTransformation1,4,BATCH_OPTIMIZED-TEMPLATE
301080,1,16,BasicXform,Time,StatisticBasedCase,2,Modification,5,BATCH_OPTIMIZED-TEMPLATE
16021296,1,16,BasicXform,Memory,StatisticBasedCase,2,Modification,5,BATCH_OPTIMIZED-TEMPLATE
37100421857,1,16,BasicXform,Time,StatisticBasedCase,2,M2MTransformation2,6,BATCH_OPTIMIZED-TEMPLATE
17004576,1,16,BasicXform,Memory,StatisticBasedCase,2,M2MTransformation2,6,BATCH_OPTIMIZED-TEMPLATE
683753218,1,16,BasicXform,AverageMemory,StatisticBasedCase,2,M2MTransformation2,6,BATCH_OPTIMIZED-TEMPLATE
1451461056,1,16,BasicXform,PeakMemory,StatisticBasedCase,2,M2MTransformation2,6,BATCH_OPTIMIZED-TEMPLATE
