PhaseName,Sequence,MetricValue,MetricName,Tool,Iteration,CaseName,RunIndex,Size,Scenario
M2MTransformation2,14,552555304,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,StatisticBasedCase,2,32,BasicXform
M2MTransformation2,14,424550056,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,StatisticBasedCase,2,32,BasicXform
EMFResourceInitialization,1,755042,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,3,64,BasicXform
EMFResourceInitialization,1,11897872,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,3,64,BasicXform
Generation,2,118015446907,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,3,64,BasicXform
Generation,2,2925578384,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,3,64,BasicXform
Initialization,3,12313261530,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,3,64,BasicXform
Initialization,3,1532341192,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,3,64,BasicXform
Initialization,3,3057999480,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,3,64,BasicXform
Initialization,3,1306660982,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,3,64,BasicXform
M2MTransformation1,4,747439044,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,3,64,BasicXform
M2MTransformation1,4,1624730640,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,3,64,BasicXform
M2MTransformation1,4,1822600344,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,3,64,BasicXform
M2MTransformation1,4,2089638232,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,3,64,BasicXform
