Size,Iteration,Sequence,RunIndex,MetricName,Tool,Scenario,MetricValue,CaseName,PhaseName
128,5,14,2,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3815756288,LowSynchCase,M2MTransformation2
128,5,14,2,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1123278232,LowSynchCase,M2MTransformation2
128,5,14,2,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,2580550682,LowSynchCase,M2MTransformation2
128,5,14,2,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4344482072,LowSynchCase,M2MTransformation2
128,1,1,3,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,331719,LowSynchCase,EMFResourceInitialization
128,1,1,3,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,11201160,LowSynchCase,EMFResourceInitialization
128,1,2,3,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,9093974083,LowSynchCase,Generation
128,1,2,3,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,677624152,LowSynchCase,Generation
128,1,3,3,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1722694592,LowSynchCase,Initialization
128,1,3,3,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,594480616,LowSynchCase,Initialization
128,1,3,3,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1377692720,LowSynchCase,Initialization
128,1,3,3,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,771963882,LowSynchCase,Initialization
128,1,4,3,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3031602277,LowSynchCase,M2MTransformation1
128,1,4,3,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1123126488,LowSynchCase,M2MTransformation1
128,1,4,3,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,2262427007,LowSynchCase,M2MTransformation1
128,1,4,3,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3353006744,LowSynchCase,M2MTransformation1
128,1,5,3,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,189251,LowSynchCase,Modification
128,1,5,3,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1123133576,LowSynchCase,Modification
128,1,6,3,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3940862185,LowSynchCase,M2MTransformation2
128,1,6,3,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1123156384,LowSynchCase,M2MTransformation2
128,1,6,3,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4296565112,LowSynchCase,M2MTransformation2
128,1,6,3,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,2557524904,LowSynchCase,M2MTransformation2
128,2,7,3,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,175376,LowSynchCase,Modification
128,2,7,3,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1123164520,LowSynchCase,Modification
128,2,8,3,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3871729788,LowSynchCase,M2MTransformation2
128,2,8,3,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1123186536,LowSynchCase,M2MTransformation2
128,2,8,3,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,2547515609,LowSynchCase,M2MTransformation2
128,2,8,3,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4274383024,LowSynchCase,M2MTransformation2
