Size,CaseName,MetricValue,Scenario,RunIndex,PhaseName,Sequence,MetricName,Iteration,Tool
4,StatisticBasedCase,18151832,BasicXform,2,M2MTransformation2,6,Memory,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,39626592,BasicXform,2,M2MTransformation2,6,PeakMemory,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,39626592,BasicXform,2,M2MTransformation2,6,AverageMemory,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,1714057,BasicXform,2,Modification,7,Time,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,18171280,BasicXform,2,Modification,7,Memory,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,18645,BasicXform,2,M2MTransformation2,8,Time,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,18172152,BasicXform,2,M2MTransformation2,8,Memory,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,39646912,BasicXform,2,M2MTransformation2,8,PeakMemory,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,28909632,BasicXform,2,M2MTransformation2,8,AverageMemory,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,1910909,BasicXform,2,Modification,9,Time,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,18192736,BasicXform,2,Modification,9,Memory,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,17150,BasicXform,2,M2MTransformation2,10,Time,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,18193608,BasicXform,2,M2MTransformation2,10,Memory,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,39668368,BasicXform,2,M2MTransformation2,10,PeakMemory,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,28931088,BasicXform,2,M2MTransformation2,10,AverageMemory,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,2029371,BasicXform,2,Modification,11,Time,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,18226360,BasicXform,2,Modification,11,Memory,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,46853,BasicXform,2,M2MTransformation2,12,Time,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE
