Scenario,CaseName,PhaseName,RunIndex,Size,Iteration,MetricValue,Tool,Sequence,MetricName
BasicXform,StatisticBasedCase,M2MTransformation2,2,16,1,18712064,BATCH_OPTIMIZED-TEMPLATE,6,Memory
BasicXform,StatisticBasedCase,Modification,2,16,2,261478,BATCH_OPTIMIZED-TEMPLATE,7,Time
BasicXform,StatisticBasedCase,Modification,2,16,2,18712560,BATCH_OPTIMIZED-TEMPLATE,7,Memory
BasicXform,StatisticBasedCase,M2MTransformation2,2,16,2,36116327274,BATCH_OPTIMIZED-TEMPLATE,8,Time
BasicXform,StatisticBasedCase,M2MTransformation2,2,16,2,19658696,BATCH_OPTIMIZED-TEMPLATE,8,Memory
BasicXform,StatisticBasedCase,Modification,2,16,3,253988,BATCH_OPTIMIZED-TEMPLATE,9,Time
BasicXform,StatisticBasedCase,Modification,2,16,3,19659192,BATCH_OPTIMIZED-TEMPLATE,9,Memory
BasicXform,StatisticBasedCase,M2MTransformation2,2,16,3,36332810571,BATCH_OPTIMIZED-TEMPLATE,10,Time
BasicXform,StatisticBasedCase,M2MTransformation2,2,16,3,20803720,BATCH_OPTIMIZED-TEMPLATE,10,Memory
BasicXform,StatisticBasedCase,Modification,2,16,4,261244,BATCH_OPTIMIZED-TEMPLATE,11,Time
BasicXform,StatisticBasedCase,Modification,2,16,4,20804240,BATCH_OPTIMIZED-TEMPLATE,11,Memory
BasicXform,StatisticBasedCase,M2MTransformation2,2,16,4,36170782425,BATCH_OPTIMIZED-TEMPLATE,12,Time
BasicXform,StatisticBasedCase,M2MTransformation2,2,16,4,21753984,BATCH_OPTIMIZED-TEMPLATE,12,Memory
BasicXform,StatisticBasedCase,Modification,2,16,5,255486,BATCH_OPTIMIZED-TEMPLATE,13,Time
BasicXform,StatisticBasedCase,Modification,2,16,5,21754504,BATCH_OPTIMIZED-TEMPLATE,13,Memory
BasicXform,StatisticBasedCase,M2MTransformation2,2,16,5,36956472469,BATCH_OPTIMIZED-TEMPLATE,14,Time
BasicXform,StatisticBasedCase,M2MTransformation2,2,16,5,22705616,BATCH_OPTIMIZED-TEMPLATE,14,Memory
BasicXform,StatisticBasedCase,EMFResourceInitialization,2,2,1,309812,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,Time
BasicXform,StatisticBasedCase,EMFResourceInitialization,2,2,1,11084280,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,Memory
BasicXform,StatisticBasedCase,Generation,2,2,1,218593989,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,Time
BasicXform,StatisticBasedCase,Generation,2,2,1,16154960,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,Memory
BasicXform,StatisticBasedCase,Initialization,2,2,1,2817649,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Time
BasicXform,StatisticBasedCase,M2MTransformation1,2,2,1,262169817,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,Time
BasicXform,StatisticBasedCase,M2MTransformation1,2,2,1,12834064,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,Memory
BasicXform,StatisticBasedCase,Modification,2,2,1,184723,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,Time
BasicXform,StatisticBasedCase,Modification,2,2,1,12834896,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,Memory
BasicXform,StatisticBasedCase,M2MTransformation2,2,2,1,80656466,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,6,Time
BasicXform,StatisticBasedCase,M2MTransformation2,2,2,1,13082848,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,6,Memory
BasicXform,StatisticBasedCase,Modification,2,2,2,165362,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,7,Time
BasicXform,StatisticBasedCase,Modification,2,2,2,13083752,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,7,Memory
BasicXform,StatisticBasedCase,M2MTransformation2,2,2,2,73305526,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,Time
BasicXform,StatisticBasedCase,M2MTransformation2,2,2,2,13091904,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,Memory
BasicXform,StatisticBasedCase,Modification,2,2,3,149261,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,9,Time
BasicXform,StatisticBasedCase,Modification,2,2,3,13092808,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,9,Memory
BasicXform,StatisticBasedCase,M2MTransformation2,2,2,3,65568075,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,10,Time
BasicXform,StatisticBasedCase,M2MTransformation2,2,2,3,13103192,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,10,Memory
BasicXform,StatisticBasedCase,Modification,2,2,4,86801,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,11,Time
BasicXform,StatisticBasedCase,Modification,2,2,4,13104120,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,11,Memory
BasicXform,StatisticBasedCase,M2MTransformation2,2,2,4,64455446,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,12,Time
BasicXform,StatisticBasedCase,M2MTransformation2,2,2,4,13112536,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,12,Memory
BasicXform,StatisticBasedCase,Modification,2,2,5,104522,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,13,Time
BasicXform,StatisticBasedCase,Modification,2,2,5,13113480,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,13,Memory
BasicXform,StatisticBasedCase,M2MTransformation2,2,2,5,64682327,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,14,Time
BasicXform,StatisticBasedCase,M2MTransformation2,2,2,5,13121728,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,14,Memory
BasicXform,StatisticBasedCase,EMFResourceInitialization,3,32,1,1047216,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,Time
BasicXform,StatisticBasedCase,EMFResourceInitialization,3,32,1,11429024,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,Memory
BasicXform,StatisticBasedCase,Generation,3,32,1,13720605852,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,Time
BasicXform,StatisticBasedCase,Generation,3,32,1,793046336,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,Memory
BasicXform,StatisticBasedCase,Initialization,3,32,1,67478722,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Time
BasicXform,StatisticBasedCase,M2MTransformation1,3,32,1,8645761297,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,Time
BasicXform,StatisticBasedCase,M2MTransformation1,3,32,1,45219816,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,Memory
BasicXform,StatisticBasedCase,Modification,3,32,1,480812,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,Time
BasicXform,StatisticBasedCase,Modification,3,32,1,45220680,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,Memory
BasicXform,StatisticBasedCase,M2MTransformation2,3,32,1,4931569208,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,6,Time
BasicXform,StatisticBasedCase,M2MTransformation2,3,32,1,50331224,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,6,Memory
BasicXform,StatisticBasedCase,Modification,3,32,2,450609,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,7,Time
BasicXform,StatisticBasedCase,Modification,3,32,2,50332136,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,7,Memory
BasicXform,StatisticBasedCase,M2MTransformation2,3,32,2,5604493650,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,Time
BasicXform,StatisticBasedCase,M2MTransformation2,3,32,2,50340408,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,Memory
BasicXform,StatisticBasedCase,Modification,3,32,3,451066,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,9,Time
BasicXform,StatisticBasedCase,Modification,3,32,3,50341240,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,9,Memory
BasicXform,StatisticBasedCase,M2MTransformation2,3,32,3,4974135306,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,10,Time
BasicXform,StatisticBasedCase,M2MTransformation2,3,32,3,50349488,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,10,Memory
BasicXform,StatisticBasedCase,Modification,3,32,4,439383,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,11,Time
BasicXform,StatisticBasedCase,Modification,3,32,4,50350344,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,11,Memory
BasicXform,StatisticBasedCase,M2MTransformation2,3,32,4,5043816390,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,12,Time
