Size,Tool,MetricValue,Scenario,RunIndex,Iteration,CaseName,MetricName,PhaseName,Sequence
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,126029,BasicXform,3,3,LowSynchCase,Time,Modification,9
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1086543376,BasicXform,3,3,LowSynchCase,Memory,Modification,9
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4033018523,BasicXform,3,3,LowSynchCase,Time,M2MTransformation2,10
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1086565504,BasicXform,3,3,LowSynchCase,Memory,M2MTransformation2,10
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2717701177,BasicXform,3,3,LowSynchCase,AverageMemory,M2MTransformation2,10
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4203404888,BasicXform,3,3,LowSynchCase,PeakMemory,M2MTransformation2,10
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,111606,BasicXform,3,4,LowSynchCase,Time,Modification,11
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1086571536,BasicXform,3,4,LowSynchCase,Memory,Modification,11
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4028648004,BasicXform,3,4,LowSynchCase,Time,M2MTransformation2,12
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1086594056,BasicXform,3,4,LowSynchCase,Memory,M2MTransformation2,12
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2723697027,BasicXform,3,4,LowSynchCase,AverageMemory,M2MTransformation2,12
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4195036984,BasicXform,3,4,LowSynchCase,PeakMemory,M2MTransformation2,12
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,165252,BasicXform,3,5,LowSynchCase,Time,Modification,13
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1086600280,BasicXform,3,5,LowSynchCase,Memory,Modification,13
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4043143434,BasicXform,3,5,LowSynchCase,Time,M2MTransformation2,14
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1086622264,BasicXform,3,5,LowSynchCase,Memory,M2MTransformation2,14
