PhaseName,Scenario,RunIndex,Size,CaseName,MetricName,Iteration,Tool,MetricValue,Sequence
Initialization,BasicXform,2,2,StatisticBasedCase,AverageMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,63453920,3
Initialization,BasicXform,2,2,StatisticBasedCase,PeakMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,95666184,3
M2MTransformation1,BasicXform,2,2,StatisticBasedCase,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,53756644,4
M2MTransformation1,BasicXform,2,2,StatisticBasedCase,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,13255120,4
M2MTransformation1,BasicXform,2,2,StatisticBasedCase,PeakMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,77069336,4
M2MTransformation1,BasicXform,2,2,StatisticBasedCase,AverageMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,44857052,4
Modification,BasicXform,2,2,StatisticBasedCase,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,223532,5
Modification,BasicXform,2,2,StatisticBasedCase,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,13254336,5
M2MTransformation2,BasicXform,2,2,StatisticBasedCase,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,50697414,6
M2MTransformation2,BasicXform,2,2,StatisticBasedCase,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,13265320,6
M2MTransformation2,BasicXform,2,2,StatisticBasedCase,PeakMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,77679728,6
M2MTransformation2,BasicXform,2,2,StatisticBasedCase,AverageMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,45467420,6
Modification,BasicXform,2,2,StatisticBasedCase,Time,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,168689,7
Modification,BasicXform,2,2,StatisticBasedCase,Memory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,13265704,7
M2MTransformation2,BasicXform,2,2,StatisticBasedCase,Time,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,44784270,8
M2MTransformation2,BasicXform,2,2,StatisticBasedCase,Memory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,13274848,8
M2MTransformation2,BasicXform,2,2,StatisticBasedCase,AverageMemory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,45478760,8
M2MTransformation2,BasicXform,2,2,StatisticBasedCase,PeakMemory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,77691040,8
Modification,BasicXform,2,2,StatisticBasedCase,Time,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,189039,9
Modification,BasicXform,2,2,StatisticBasedCase,Memory,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,13275040,9
M2MTransformation2,BasicXform,2,2,StatisticBasedCase,Time,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,46253376,10
