RunIndex,Scenario,MetricValue,CaseName,Iteration,MetricName,Size,Tool,PhaseName,Sequence
3,BasicXform,34720312747,StatisticBasedCase,1,Time,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,4
3,BasicXform,293253800,StatisticBasedCase,1,Memory,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,4
3,BasicXform,1309293352,StatisticBasedCase,1,AverageMemory,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,4
3,BasicXform,2255709184,StatisticBasedCase,1,PeakMemory,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,4
3,BasicXform,2369911,StatisticBasedCase,1,Time,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,5
3,BasicXform,293254008,StatisticBasedCase,1,Memory,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,5
3,BasicXform,34037712023,StatisticBasedCase,1,Time,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,6
3,BasicXform,293261208,StatisticBasedCase,1,Memory,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,6
3,BasicXform,1638960691,StatisticBasedCase,1,AverageMemory,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,6
3,BasicXform,3067811192,StatisticBasedCase,1,PeakMemory,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,6
3,BasicXform,631942,StatisticBasedCase,2,Time,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,7
3,BasicXform,293261224,StatisticBasedCase,2,Memory,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,7
3,BasicXform,34161983874,StatisticBasedCase,2,Time,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,8
3,BasicXform,293263176,StatisticBasedCase,2,Memory,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,8
3,BasicXform,1831729883,StatisticBasedCase,2,AverageMemory,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,8
