MetricValue,CaseName,Scenario,Sequence,Iteration,Size,MetricName,Tool,PhaseName,RunIndex
56468752,StatisticBasedCase,BasicXform,2,1,8,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Generation,1
73677192,StatisticBasedCase,BasicXform,3,1,8,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,1
16187528,StatisticBasedCase,BasicXform,3,1,8,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,1
63842232,StatisticBasedCase,BasicXform,3,1,8,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,1
48291928,StatisticBasedCase,BasicXform,3,1,8,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,1
3555199395,StatisticBasedCase,BasicXform,4,1,8,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,1
18163824,StatisticBasedCase,BasicXform,4,1,8,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,1
1092239704,StatisticBasedCase,BasicXform,4,1,8,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,1
336385320,StatisticBasedCase,BasicXform,4,1,8,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,1
256930,StatisticBasedCase,BasicXform,5,1,8,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,1
18164120,StatisticBasedCase,BasicXform,5,1,8,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,1
4326207402,StatisticBasedCase,BasicXform,6,1,8,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,1
18168576,StatisticBasedCase,BasicXform,6,1,8,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,1
358956300,StatisticBasedCase,BasicXform,6,1,8,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,1
1094085408,StatisticBasedCase,BasicXform,6,1,8,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,1
138818,StatisticBasedCase,BasicXform,7,2,8,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,1
18168736,StatisticBasedCase,BasicXform,7,2,8,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,1
3276552626,StatisticBasedCase,BasicXform,8,2,8,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,1
18180384,StatisticBasedCase,BasicXform,8,2,8,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,1
1094024472,StatisticBasedCase,BasicXform,8,2,8,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,1
398053168,StatisticBasedCase,BasicXform,8,2,8,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,1
151316,StatisticBasedCase,BasicXform,9,3,8,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,1
18180552,StatisticBasedCase,BasicXform,9,3,8,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,1
3310960952,StatisticBasedCase,BasicXform,10,3,8,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,1
18184056,StatisticBasedCase,BasicXform,10,3,8,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,1
396474354,StatisticBasedCase,BasicXform,10,3,8,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,1
1094101840,StatisticBasedCase,BasicXform,10,3,8,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,1
92624,StatisticBasedCase,BasicXform,11,4,8,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,1
18184248,StatisticBasedCase,BasicXform,11,4,8,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,1
3374598736,StatisticBasedCase,BasicXform,12,4,8,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,1
