MetricName,Tool,RunIndex,PhaseName,CaseName,Scenario,MetricValue,Sequence,Size,Iteration
PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Initialization,StatisticBasedCase,BasicXform,1021794520,3,64,1
AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Initialization,StatisticBasedCase,BasicXform,621776890,3,64,1
Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation1,StatisticBasedCase,BasicXform,35138133448,4,64,1
Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation1,StatisticBasedCase,BasicXform,292579648,4,64,1
PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation1,StatisticBasedCase,BasicXform,2258170904,4,64,1
AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation1,StatisticBasedCase,BasicXform,1330403282,4,64,1
Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Modification,StatisticBasedCase,BasicXform,2557074,5,64,1
Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Modification,StatisticBasedCase,BasicXform,292579856,5,64,1
Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,34900752839,6,64,1
Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,292593928,6,64,1
PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,3024333856,6,64,1
AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,1595577046,6,64,1
Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Modification,StatisticBasedCase,BasicXform,649566,7,64,2
Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Modification,StatisticBasedCase,BasicXform,292593904,7,64,2
Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,34972976036,8,64,2
Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,292594200,8,64,2
PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,3547058880,8,64,2
AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,1856142087,8,64,2
Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Modification,StatisticBasedCase,BasicXform,631597,9,64,3
Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Modification,StatisticBasedCase,BasicXform,292594176,9,64,3
Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,34776686071,10,64,3
Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,292596584,10,64,3
PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,3426440144,10,64,3
AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,1854105138,10,64,3
Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Modification,StatisticBasedCase,BasicXform,661232,11,64,4
Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Modification,StatisticBasedCase,BasicXform,292596600,11,64,4
Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,34618857128,12,64,4
Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,292604872,12,64,4
AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,1844727293,12,64,4
PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,3311639904,12,64,4
Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Modification,StatisticBasedCase,BasicXform,305518,13,64,5
Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Modification,StatisticBasedCase,BasicXform,292604872,13,64,5
Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,34653196000,14,64,5
Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,292608024,14,64,5
AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,1740440980,14,64,5
PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,3215052200,14,64,5
Time,BATCH_OPTIMIZED-TEMPLATE,2,EMFResourceInitialization,StatisticBasedCase,BasicXform,181149,1,16,1
Memory,BATCH_OPTIMIZED-TEMPLATE,2,EMFResourceInitialization,StatisticBasedCase,BasicXform,9391504,1,16,1
