RunIndex,MetricName,MetricValue,Scenario,Size,Sequence,PhaseName,CaseName,Iteration,Tool
1,Memory,24914848,BasicXform,16,14,M2MTransformation2,StatisticBasedCase,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
1,PeakMemory,358210720,BasicXform,16,14,M2MTransformation2,StatisticBasedCase,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
1,AverageMemory,212390680,BasicXform,16,14,M2MTransformation2,StatisticBasedCase,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,Time,222520,BasicXform,16,1,EMFResourceInitialization,StatisticBasedCase,1,BATCH_OPTIMIZED-TEMPLATE
2,Memory,8912896,BasicXform,16,1,EMFResourceInitialization,StatisticBasedCase,1,BATCH_OPTIMIZED-TEMPLATE
2,Time,3243631907,BasicXform,16,2,Generation,StatisticBasedCase,1,BATCH_OPTIMIZED-TEMPLATE
2,Memory,187329136,BasicXform,16,2,Generation,StatisticBasedCase,1,BATCH_OPTIMIZED-TEMPLATE
2,Time,15109,BasicXform,16,3,Initialization,StatisticBasedCase,1,BATCH_OPTIMIZED-TEMPLATE
2,Memory,11611208,BasicXform,16,3,Initialization,StatisticBasedCase,1,BATCH_OPTIMIZED-TEMPLATE
2,PeakMemory,53337192,BasicXform,16,3,Initialization,StatisticBasedCase,1,BATCH_OPTIMIZED-TEMPLATE
2,AverageMemory,32474300,BasicXform,16,3,Initialization,StatisticBasedCase,1,BATCH_OPTIMIZED-TEMPLATE
2,Time,34999677721,BasicXform,16,4,M2MTransformation1,StatisticBasedCase,1,BATCH_OPTIMIZED-TEMPLATE
2,Memory,15510160,BasicXform,16,4,M2MTransformation1,StatisticBasedCase,1,BATCH_OPTIMIZED-TEMPLATE
2,AverageMemory,1192736212,BasicXform,16,4,M2MTransformation1,StatisticBasedCase,1,BATCH_OPTIMIZED-TEMPLATE
2,PeakMemory,3504219680,BasicXform,16,4,M2MTransformation1,StatisticBasedCase,1,BATCH_OPTIMIZED-TEMPLATE
2,Time,300070,BasicXform,16,5,Modification,StatisticBasedCase,1,BATCH_OPTIMIZED-TEMPLATE
2,Memory,15510248,BasicXform,16,5,Modification,StatisticBasedCase,1,BATCH_OPTIMIZED-TEMPLATE
2,Time,34103222233,BasicXform,16,6,M2MTransformation2,StatisticBasedCase,1,BATCH_OPTIMIZED-TEMPLATE
2,Memory,16553208,BasicXform,16,6,M2MTransformation2,StatisticBasedCase,1,BATCH_OPTIMIZED-TEMPLATE
2,AverageMemory,1077234460,BasicXform,16,6,M2MTransformation2,StatisticBasedCase,1,BATCH_OPTIMIZED-TEMPLATE
2,PeakMemory,3265328784,BasicXform,16,6,M2MTransformation2,StatisticBasedCase,1,BATCH_OPTIMIZED-TEMPLATE
2,Time,242461,BasicXform,16,7,Modification,StatisticBasedCase,2,BATCH_OPTIMIZED-TEMPLATE
2,Memory,16553296,BasicXform,16,7,Modification,StatisticBasedCase,2,BATCH_OPTIMIZED-TEMPLATE
2,Time,34613304931,BasicXform,16,8,M2MTransformation2,StatisticBasedCase,2,BATCH_OPTIMIZED-TEMPLATE
2,Memory,17499832,BasicXform,16,8,M2MTransformation2,StatisticBasedCase,2,BATCH_OPTIMIZED-TEMPLATE
2,PeakMemory,3258304432,BasicXform,16,8,M2MTransformation2,StatisticBasedCase,2,BATCH_OPTIMIZED-TEMPLATE
2,AverageMemory,1023979340,BasicXform,16,8,M2MTransformation2,StatisticBasedCase,2,BATCH_OPTIMIZED-TEMPLATE
2,Time,188012,BasicXform,16,9,Modification,StatisticBasedCase,3,BATCH_OPTIMIZED-TEMPLATE
2,Memory,17499920,BasicXform,16,9,Modification,StatisticBasedCase,3,BATCH_OPTIMIZED-TEMPLATE
2,Time,34891228148,BasicXform,16,10,M2MTransformation2,StatisticBasedCase,3,BATCH_OPTIMIZED-TEMPLATE
2,Memory,18644456,BasicXform,16,10,M2MTransformation2,StatisticBasedCase,3,BATCH_OPTIMIZED-TEMPLATE
