CaseName,PhaseName,Scenario,RunIndex,Sequence,Tool,Size,Iteration,MetricValue,MetricName
StatisticBasedCase,M2MTransformation2,BasicXform,1,6,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,1,1119451128,Memory
StatisticBasedCase,M2MTransformation2,BasicXform,1,6,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,1,1186554744,PeakMemory
StatisticBasedCase,M2MTransformation2,BasicXform,1,6,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,1,1163942184,AverageMemory
StatisticBasedCase,Modification,BasicXform,1,7,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,2,1972182,Time
StatisticBasedCase,Modification,BasicXform,1,7,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,2,1119477680,Memory
StatisticBasedCase,M2MTransformation2,BasicXform,1,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,2,21777,Time
StatisticBasedCase,M2MTransformation2,BasicXform,1,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,2,1119478560,Memory
StatisticBasedCase,M2MTransformation2,BasicXform,1,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,2,1163969616,PeakMemory
StatisticBasedCase,M2MTransformation2,BasicXform,1,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,2,1163969616,AverageMemory
StatisticBasedCase,Modification,BasicXform,1,9,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,3,2742826,Time
StatisticBasedCase,Modification,BasicXform,1,9,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,3,1119505640,Memory
StatisticBasedCase,M2MTransformation2,BasicXform,1,10,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,3,60760,Time
StatisticBasedCase,M2MTransformation2,BasicXform,1,10,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,3,1119506520,Memory
StatisticBasedCase,M2MTransformation2,BasicXform,1,10,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,3,1163997576,AverageMemory
StatisticBasedCase,M2MTransformation2,BasicXform,1,10,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,3,1209222680,PeakMemory
StatisticBasedCase,Modification,BasicXform,1,11,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,4,1693697,Time
StatisticBasedCase,Modification,BasicXform,1,11,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,4,1119535320,Memory
StatisticBasedCase,M2MTransformation2,BasicXform,1,12,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,4,17113,Time
StatisticBasedCase,M2MTransformation2,BasicXform,1,12,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,4,1119536224,Memory
StatisticBasedCase,M2MTransformation2,BasicXform,1,12,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,4,1164027280,PeakMemory
StatisticBasedCase,M2MTransformation2,BasicXform,1,12,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,4,1164027280,AverageMemory
StatisticBasedCase,Modification,BasicXform,1,13,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,5,1423627,Time
StatisticBasedCase,Modification,BasicXform,1,13,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,5,1119564696,Memory
StatisticBasedCase,M2MTransformation2,BasicXform,1,14,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,5,19312,Time
StatisticBasedCase,M2MTransformation2,BasicXform,1,14,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,5,1119565576,Memory
StatisticBasedCase,M2MTransformation2,BasicXform,1,14,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,5,1164056632,AverageMemory
StatisticBasedCase,M2MTransformation2,BasicXform,1,14,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64,5,1164056632,PeakMemory
StatisticBasedCase,EMFResourceInitialization,BasicXform,2,1,BATCH_OPTIMIZED-TEMPLATE,8,1,176256,Time
StatisticBasedCase,EMFResourceInitialization,BasicXform,2,1,BATCH_OPTIMIZED-TEMPLATE,8,1,9431096,Memory
StatisticBasedCase,Generation,BasicXform,2,2,BATCH_OPTIMIZED-TEMPLATE,8,1,1160945786,Time
StatisticBasedCase,Generation,BasicXform,2,2,BATCH_OPTIMIZED-TEMPLATE,8,1,33593576,Memory
StatisticBasedCase,Initialization,BasicXform,2,3,BATCH_OPTIMIZED-TEMPLATE,8,1,14093,Time
StatisticBasedCase,Initialization,BasicXform,2,3,BATCH_OPTIMIZED-TEMPLATE,8,1,10520616,Memory
StatisticBasedCase,Initialization,BasicXform,2,3,BATCH_OPTIMIZED-TEMPLATE,8,1,31995008,PeakMemory
StatisticBasedCase,Initialization,BasicXform,2,3,BATCH_OPTIMIZED-TEMPLATE,8,1,21257912,AverageMemory
StatisticBasedCase,M2MTransformation1,BasicXform,2,4,BATCH_OPTIMIZED-TEMPLATE,8,1,9745829071,Time
StatisticBasedCase,M2MTransformation1,BasicXform,2,4,BATCH_OPTIMIZED-TEMPLATE,8,1,12303920,Memory
StatisticBasedCase,M2MTransformation1,BasicXform,2,4,BATCH_OPTIMIZED-TEMPLATE,8,1,1438211720,PeakMemory
StatisticBasedCase,M2MTransformation1,BasicXform,2,4,BATCH_OPTIMIZED-TEMPLATE,8,1,572378811,AverageMemory
StatisticBasedCase,Modification,BasicXform,2,5,BATCH_OPTIMIZED-TEMPLATE,8,1,171900,Time
StatisticBasedCase,Modification,BasicXform,2,5,BATCH_OPTIMIZED-TEMPLATE,8,1,12304008,Memory
StatisticBasedCase,M2MTransformation2,BasicXform,2,6,BATCH_OPTIMIZED-TEMPLATE,8,1,8353900839,Time
StatisticBasedCase,M2MTransformation2,BasicXform,2,6,BATCH_OPTIMIZED-TEMPLATE,8,1,12795080,Memory
StatisticBasedCase,M2MTransformation2,BasicXform,2,6,BATCH_OPTIMIZED-TEMPLATE,8,1,1445017104,PeakMemory
StatisticBasedCase,M2MTransformation2,BasicXform,2,6,BATCH_OPTIMIZED-TEMPLATE,8,1,781312186,AverageMemory
StatisticBasedCase,Modification,BasicXform,2,7,BATCH_OPTIMIZED-TEMPLATE,8,2,108515,Time
StatisticBasedCase,Modification,BasicXform,2,7,BATCH_OPTIMIZED-TEMPLATE,8,2,12795168,Memory
StatisticBasedCase,M2MTransformation2,BasicXform,2,8,BATCH_OPTIMIZED-TEMPLATE,8,2,8605361506,Time
StatisticBasedCase,M2MTransformation2,BasicXform,2,8,BATCH_OPTIMIZED-TEMPLATE,8,2,13312120,Memory
StatisticBasedCase,M2MTransformation2,BasicXform,2,8,BATCH_OPTIMIZED-TEMPLATE,8,2,1445565576,PeakMemory
StatisticBasedCase,M2MTransformation2,BasicXform,2,8,BATCH_OPTIMIZED-TEMPLATE,8,2,429167842,AverageMemory
StatisticBasedCase,Modification,BasicXform,2,9,BATCH_OPTIMIZED-TEMPLATE,8,3,88096,Time
StatisticBasedCase,Modification,BasicXform,2,9,BATCH_OPTIMIZED-TEMPLATE,8,3,13312208,Memory
StatisticBasedCase,M2MTransformation2,BasicXform,2,10,BATCH_OPTIMIZED-TEMPLATE,8,3,8427014489,Time
StatisticBasedCase,M2MTransformation2,BasicXform,2,10,BATCH_OPTIMIZED-TEMPLATE,8,3,13782024,Memory
StatisticBasedCase,M2MTransformation2,BasicXform,2,10,BATCH_OPTIMIZED-TEMPLATE,8,3,712718049,AverageMemory
StatisticBasedCase,M2MTransformation2,BasicXform,2,10,BATCH_OPTIMIZED-TEMPLATE,8,3,1446025224,PeakMemory
StatisticBasedCase,Modification,BasicXform,2,11,BATCH_OPTIMIZED-TEMPLATE,8,4,110893,Time
StatisticBasedCase,Modification,BasicXform,2,11,BATCH_OPTIMIZED-TEMPLATE,8,4,13782136,Memory
StatisticBasedCase,M2MTransformation2,BasicXform,2,12,BATCH_OPTIMIZED-TEMPLATE,8,4,8569768645,Time
StatisticBasedCase,M2MTransformation2,BasicXform,2,12,BATCH_OPTIMIZED-TEMPLATE,8,4,14352008,Memory
StatisticBasedCase,M2MTransformation2,BasicXform,2,12,BATCH_OPTIMIZED-TEMPLATE,8,4,424055836,AverageMemory
StatisticBasedCase,M2MTransformation2,BasicXform,2,12,BATCH_OPTIMIZED-TEMPLATE,8,4,1446667256,PeakMemory
StatisticBasedCase,Modification,BasicXform,2,13,BATCH_OPTIMIZED-TEMPLATE,8,5,149313,Time
StatisticBasedCase,Modification,BasicXform,2,13,BATCH_OPTIMIZED-TEMPLATE,8,5,14352136,Memory
StatisticBasedCase,M2MTransformation2,BasicXform,2,14,BATCH_OPTIMIZED-TEMPLATE,8,5,8834882179,Time
StatisticBasedCase,M2MTransformation2,BasicXform,2,14,BATCH_OPTIMIZED-TEMPLATE,8,5,14824824,Memory
StatisticBasedCase,M2MTransformation2,BasicXform,2,14,BATCH_OPTIMIZED-TEMPLATE,8,5,1447048768,PeakMemory
