RunIndex,MetricName,Tool,CaseName,Size,Scenario,MetricValue,Iteration,PhaseName,Sequence
2,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,143053,1,Modification,5
2,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,12712104,1,Modification,5
2,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,51769678,1,M2MTransformation2,6
2,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,12717312,1,M2MTransformation2,6
2,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,55662640,1,M2MTransformation2,6
2,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,44925188,1,M2MTransformation2,6
2,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,122210,2,Modification,7
2,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,12717088,2,Modification,7
2,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,51031505,2,M2MTransformation2,8
2,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,12728832,2,M2MTransformation2,8
2,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,44930144,2,M2MTransformation2,8
2,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,55667568,2,M2MTransformation2,8
2,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,197217,3,Modification,9
2,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,12727808,3,Modification,9
2,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,52202779,3,M2MTransformation2,10
2,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,12739872,3,M2MTransformation2,10
2,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,55678168,3,M2MTransformation2,10
2,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,44940756,3,M2MTransformation2,10
2,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,155459,4,Modification,11
2,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,12739672,4,Modification,11
2,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,52208566,4,M2MTransformation2,12
2,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,12745768,4,M2MTransformation2,12
2,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,55690176,4,M2MTransformation2,12
2,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,44952752,4,M2MTransformation2,12
2,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,154936,5,Modification,13
2,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,12745584,5,Modification,13
2,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,49970284,5,M2MTransformation2,14
2,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,12751568,5,M2MTransformation2,14
2,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,55696120,5,M2MTransformation2,14
2,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,44958668,5,M2MTransformation2,14
3,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,687972,1,EMFResourceInitialization,1
3,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,9862344,1,EMFResourceInitialization,1
3,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,14747291805,1,Generation,2
3,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,389009080,1,Generation,2
