RunIndex,Iteration,Sequence,PhaseName,Scenario,CaseName,Tool,Size,MetricValue,MetricName
2,2,7,Modification,BasicXform,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,221742,Time
2,2,7,Modification,BasicXform,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,17181552,Memory
2,2,8,M2MTransformation2,BasicXform,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,36388332094,Time
2,2,8,M2MTransformation2,BasicXform,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,18128864,Memory
2,2,8,M2MTransformation2,BasicXform,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,3217006032,PeakMemory
2,2,8,M2MTransformation2,BasicXform,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,1235051054,AverageMemory
2,3,9,Modification,BasicXform,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,187252,Time
2,3,9,Modification,BasicXform,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,18128952,Memory
2,3,10,M2MTransformation2,BasicXform,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,36177537681,Time
2,3,10,M2MTransformation2,BasicXform,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,19274696,Memory
2,3,10,M2MTransformation2,BasicXform,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,3211023048,PeakMemory
2,3,10,M2MTransformation2,BasicXform,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,904572005,AverageMemory
2,4,11,Modification,BasicXform,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,173189,Time
2,4,11,Modification,BasicXform,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,19274808,Memory
2,4,12,M2MTransformation2,BasicXform,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,37549874690,Time
2,4,12,M2MTransformation2,BasicXform,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,20225592,Memory
