RunIndex,CaseName,MetricValue,Tool,Iteration,MetricName,Sequence,Scenario,Size,PhaseName
5,StatisticBasedCase,163003,BATCH_OPTIMIZED-TEMPLATE,2,Time,10,ToolChainPerformance,8,Modification
5,StatisticBasedCase,90341632,BATCH_OPTIMIZED-TEMPLATE,2,Memory,10,ToolChainPerformance,8,Modification
5,StatisticBasedCase,8143960787,BATCH_OPTIMIZED-TEMPLATE,2,Time,11,ToolChainPerformance,8,M2MTransformation2
5,StatisticBasedCase,86934480,BATCH_OPTIMIZED-TEMPLATE,2,Memory,11,ToolChainPerformance,8,M2MTransformation2
5,StatisticBasedCase,2480160394,BATCH_OPTIMIZED-TEMPLATE,2,Time,12,ToolChainPerformance,8,M2TTransformation2
5,StatisticBasedCase,122502304,BATCH_OPTIMIZED-TEMPLATE,2,Memory,12,ToolChainPerformance,8,M2TTransformation2
5,StatisticBasedCase,151167,BATCH_OPTIMIZED-TEMPLATE,3,Time,13,ToolChainPerformance,8,Modification
5,StatisticBasedCase,122350832,BATCH_OPTIMIZED-TEMPLATE,3,Memory,13,ToolChainPerformance,8,Modification
5,StatisticBasedCase,8159693244,BATCH_OPTIMIZED-TEMPLATE,3,Time,14,ToolChainPerformance,8,M2MTransformation2
5,StatisticBasedCase,115952552,BATCH_OPTIMIZED-TEMPLATE,3,Memory,14,ToolChainPerformance,8,M2MTransformation2
