Size,Tool,Iteration,MetricValue,Scenario,Sequence,RunIndex,MetricName,CaseName,PhaseName
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,35582480,BasicXform,6,2,PeakMemory,StatisticBasedCase,M2MTransformation2
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,2571672,BasicXform,7,2,Time,StatisticBasedCase,Modification
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,14133536,BasicXform,7,2,Memory,StatisticBasedCase,Modification
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,21387,BasicXform,8,2,Time,StatisticBasedCase,M2MTransformation2
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,14134408,BasicXform,8,2,Memory,StatisticBasedCase,M2MTransformation2
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,35609168,BasicXform,8,2,PeakMemory,StatisticBasedCase,M2MTransformation2
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,35609168,BasicXform,8,2,AverageMemory,StatisticBasedCase,M2MTransformation2
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,3,2285659,BasicXform,9,2,Time,StatisticBasedCase,Modification
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,3,14156912,BasicXform,9,2,Memory,StatisticBasedCase,Modification
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,3,18609,BasicXform,10,2,Time,StatisticBasedCase,M2MTransformation2
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,3,14157784,BasicXform,10,2,Memory,StatisticBasedCase,M2MTransformation2
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,3,35632544,BasicXform,10,2,PeakMemory,StatisticBasedCase,M2MTransformation2
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,3,24895264,BasicXform,10,2,AverageMemory,StatisticBasedCase,M2MTransformation2
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,2446603,BasicXform,11,2,Time,StatisticBasedCase,Modification
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,14181616,BasicXform,11,2,Memory,StatisticBasedCase,Modification
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,20685,BasicXform,12,2,Time,StatisticBasedCase,M2MTransformation2
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,14182512,BasicXform,12,2,Memory,StatisticBasedCase,M2MTransformation2
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,35657272,BasicXform,12,2,PeakMemory,StatisticBasedCase,M2MTransformation2
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,35657272,BasicXform,12,2,AverageMemory,StatisticBasedCase,M2MTransformation2
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,5,2251400,BasicXform,13,2,Time,StatisticBasedCase,Modification
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,5,14205864,BasicXform,13,2,Memory,StatisticBasedCase,Modification
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,5,19256,BasicXform,14,2,Time,StatisticBasedCase,M2MTransformation2
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,5,14206736,BasicXform,14,2,Memory,StatisticBasedCase,M2MTransformation2
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,5,24944216,BasicXform,14,2,AverageMemory,StatisticBasedCase,M2MTransformation2
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,5,35681496,BasicXform,14,2,PeakMemory,StatisticBasedCase,M2MTransformation2
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,360323,BasicXform,1,1,Time,StatisticBasedCase,EMFResourceInitialization
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,9692696,BasicXform,1,1,Memory,StatisticBasedCase,EMFResourceInitialization
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,3813029001,BasicXform,2,1,Time,StatisticBasedCase,Generation
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,99754448,BasicXform,2,1,Memory,StatisticBasedCase,Generation
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,203896576,BasicXform,3,1,Time,StatisticBasedCase,Initialization
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,24284512,BasicXform,3,1,Memory,StatisticBasedCase,Initialization
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,82214804,BasicXform,3,1,AverageMemory,StatisticBasedCase,Initialization
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,110138560,BasicXform,3,1,PeakMemory,StatisticBasedCase,Initialization
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,383185523,BasicXform,4,1,Time,StatisticBasedCase,M2MTransformation1
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,29781432,BasicXform,4,1,Memory,StatisticBasedCase,M2MTransformation1
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,233729488,BasicXform,4,1,PeakMemory,StatisticBasedCase,M2MTransformation1
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,149951712,BasicXform,4,1,AverageMemory,StatisticBasedCase,M2MTransformation1
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,696948,BasicXform,5,1,Time,StatisticBasedCase,Modification
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,29782088,BasicXform,5,1,Memory,StatisticBasedCase,Modification
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,364587323,BasicXform,6,1,Time,StatisticBasedCase,M2MTransformation2
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,29792424,BasicXform,6,1,Memory,StatisticBasedCase,M2MTransformation2
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,239227072,BasicXform,6,1,PeakMemory,StatisticBasedCase,M2MTransformation2
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,155449384,BasicXform,6,1,AverageMemory,StatisticBasedCase,M2MTransformation2
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,386902,BasicXform,7,1,Time,StatisticBasedCase,Modification
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,29792824,BasicXform,7,1,Memory,StatisticBasedCase,Modification
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,310609135,BasicXform,8,1,Time,StatisticBasedCase,M2MTransformation2
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,29821648,BasicXform,8,1,Memory,StatisticBasedCase,M2MTransformation2
