Tool,MetricName,Iteration,Sequence,RunIndex,CaseName,Size,Scenario,MetricValue,PhaseName
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,1,6,3,StatisticBasedCase,2,BasicXform,58361761,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,1,6,3,StatisticBasedCase,2,BasicXform,13890952,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,1,6,3,StatisticBasedCase,2,BasicXform,35361208,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,1,6,3,StatisticBasedCase,2,BasicXform,35361208,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,2,7,3,StatisticBasedCase,2,BasicXform,226305,Modification
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,2,7,3,StatisticBasedCase,2,BasicXform,13890920,Modification
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,2,8,3,StatisticBasedCase,2,BasicXform,54314123,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,2,8,3,StatisticBasedCase,2,BasicXform,13901472,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,2,8,3,StatisticBasedCase,2,BasicXform,35366552,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,2,8,3,StatisticBasedCase,2,BasicXform,35366552,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,3,9,3,StatisticBasedCase,2,BasicXform,147751,Modification
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,3,9,3,StatisticBasedCase,2,BasicXform,13901440,Modification
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,3,10,3,StatisticBasedCase,2,BasicXform,53149357,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,3,10,3,StatisticBasedCase,2,BasicXform,13914304,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,3,10,3,StatisticBasedCase,2,BasicXform,35377184,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,3,10,3,StatisticBasedCase,2,BasicXform,35377184,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,4,11,3,StatisticBasedCase,2,BasicXform,190414,Modification
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,4,11,3,StatisticBasedCase,2,BasicXform,13914296,Modification
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,4,12,3,StatisticBasedCase,2,BasicXform,47034226,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,4,12,3,StatisticBasedCase,2,BasicXform,13922768,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,4,12,3,StatisticBasedCase,2,BasicXform,35389952,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,4,12,3,StatisticBasedCase,2,BasicXform,35389952,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,5,13,3,StatisticBasedCase,2,BasicXform,198349,Modification
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,5,13,3,StatisticBasedCase,2,BasicXform,13922736,Modification
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,5,14,3,StatisticBasedCase,2,BasicXform,43965604,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,5,14,3,StatisticBasedCase,2,BasicXform,13928208,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,5,14,3,StatisticBasedCase,2,BasicXform,46135828,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,5,14,3,StatisticBasedCase,2,BasicXform,56873288,M2MTransformation2
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Time,1,1,4,StatisticBasedCase,64,BasicXform,347855,EMFResourceInitialization
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Memory,1,1,4,StatisticBasedCase,64,BasicXform,10572800,EMFResourceInitialization
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Time,1,2,4,StatisticBasedCase,64,BasicXform,68339494740,Generation
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Memory,1,2,4,StatisticBasedCase,64,BasicXform,1721257744,Generation
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Time,1,3,4,StatisticBasedCase,64,BasicXform,12560725344,Initialization
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Memory,1,3,4,StatisticBasedCase,64,BasicXform,1070539264,Initialization
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,AverageMemory,1,3,4,StatisticBasedCase,64,BasicXform,1172365476,Initialization
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,PeakMemory,1,3,4,StatisticBasedCase,64,BasicXform,2862034240,Initialization
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Time,1,4,4,StatisticBasedCase,64,BasicXform,17859824218,M2MTransformation1
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Memory,1,4,4,StatisticBasedCase,64,BasicXform,2104327528,M2MTransformation1
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,PeakMemory,1,4,4,StatisticBasedCase,64,BasicXform,4065155712,M2MTransformation1
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,AverageMemory,1,4,4,StatisticBasedCase,64,BasicXform,2301364233,M2MTransformation1
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Time,1,5,4,StatisticBasedCase,64,BasicXform,3182190,Modification
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Memory,1,5,4,StatisticBasedCase,64,BasicXform,2104368840,Modification
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Time,1,6,4,StatisticBasedCase,64,BasicXform,3857,M2MTransformation2
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Memory,1,6,4,StatisticBasedCase,64,BasicXform,2104369920,M2MTransformation2
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,PeakMemory,1,6,4,StatisticBasedCase,64,BasicXform,2153678952,M2MTransformation2
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,AverageMemory,1,6,4,StatisticBasedCase,64,BasicXform,2143966644,M2MTransformation2
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Time,2,7,4,StatisticBasedCase,64,BasicXform,4114989,Modification
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Memory,2,7,4,StatisticBasedCase,64,BasicXform,2104515784,Modification
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Time,2,8,4,StatisticBasedCase,64,BasicXform,3636,M2MTransformation2
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Memory,2,8,4,StatisticBasedCase,64,BasicXform,2104516664,M2MTransformation2
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,PeakMemory,2,8,4,StatisticBasedCase,64,BasicXform,2162644600,M2MTransformation2
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,AverageMemory,2,8,4,StatisticBasedCase,64,BasicXform,2133580732,M2MTransformation2
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Time,3,9,4,StatisticBasedCase,64,BasicXform,2627715,Modification
