MetricName,Sequence,Tool,Iteration,RunIndex,MetricValue,Scenario,CaseName,Size,PhaseName
PeakMemory,4,BATCH_OPTIMIZED-TEMPLATE,1,2,3543617408,BasicXform,StatisticBasedCase,16,M2MTransformation1
AverageMemory,4,BATCH_OPTIMIZED-TEMPLATE,1,2,1308456681,BasicXform,StatisticBasedCase,16,M2MTransformation1
Time,5,BATCH_OPTIMIZED-TEMPLATE,1,2,369409,BasicXform,StatisticBasedCase,16,Modification
Memory,5,BATCH_OPTIMIZED-TEMPLATE,1,2,16138160,BasicXform,StatisticBasedCase,16,Modification
Time,6,BATCH_OPTIMIZED-TEMPLATE,1,2,36393823385,BasicXform,StatisticBasedCase,16,M2MTransformation2
Memory,6,BATCH_OPTIMIZED-TEMPLATE,1,2,17182152,BasicXform,StatisticBasedCase,16,M2MTransformation2
AverageMemory,6,BATCH_OPTIMIZED-TEMPLATE,1,2,1158662254,BasicXform,StatisticBasedCase,16,M2MTransformation2
PeakMemory,6,BATCH_OPTIMIZED-TEMPLATE,1,2,3392828280,BasicXform,StatisticBasedCase,16,M2MTransformation2
Time,7,BATCH_OPTIMIZED-TEMPLATE,2,2,204471,BasicXform,StatisticBasedCase,16,Modification
Memory,7,BATCH_OPTIMIZED-TEMPLATE,2,2,17182240,BasicXform,StatisticBasedCase,16,Modification
Time,8,BATCH_OPTIMIZED-TEMPLATE,2,2,36614884549,BasicXform,StatisticBasedCase,16,M2MTransformation2
Memory,8,BATCH_OPTIMIZED-TEMPLATE,2,2,18130896,BasicXform,StatisticBasedCase,16,M2MTransformation2
PeakMemory,8,BATCH_OPTIMIZED-TEMPLATE,2,2,3393110144,BasicXform,StatisticBasedCase,16,M2MTransformation2
AverageMemory,8,BATCH_OPTIMIZED-TEMPLATE,2,2,1274473955,BasicXform,StatisticBasedCase,16,M2MTransformation2
Time,9,BATCH_OPTIMIZED-TEMPLATE,3,2,180589,BasicXform,StatisticBasedCase,16,Modification
Memory,9,BATCH_OPTIMIZED-TEMPLATE,3,2,18130032,BasicXform,StatisticBasedCase,16,Modification
Time,10,BATCH_OPTIMIZED-TEMPLATE,3,2,37178353273,BasicXform,StatisticBasedCase,16,M2MTransformation2
Memory,10,BATCH_OPTIMIZED-TEMPLATE,3,2,19275920,BasicXform,StatisticBasedCase,16,M2MTransformation2
PeakMemory,10,BATCH_OPTIMIZED-TEMPLATE,3,2,3382458112,BasicXform,StatisticBasedCase,16,M2MTransformation2
AverageMemory,10,BATCH_OPTIMIZED-TEMPLATE,3,2,870023648,BasicXform,StatisticBasedCase,16,M2MTransformation2
Time,11,BATCH_OPTIMIZED-TEMPLATE,4,2,172853,BasicXform,StatisticBasedCase,16,Modification
Memory,11,BATCH_OPTIMIZED-TEMPLATE,4,2,19276032,BasicXform,StatisticBasedCase,16,Modification
Time,12,BATCH_OPTIMIZED-TEMPLATE,4,2,35804001501,BasicXform,StatisticBasedCase,16,M2MTransformation2
Memory,12,BATCH_OPTIMIZED-TEMPLATE,4,2,20226960,BasicXform,StatisticBasedCase,16,M2MTransformation2
PeakMemory,12,BATCH_OPTIMIZED-TEMPLATE,4,2,3373699960,BasicXform,StatisticBasedCase,16,M2MTransformation2
AverageMemory,12,BATCH_OPTIMIZED-TEMPLATE,4,2,1086411718,BasicXform,StatisticBasedCase,16,M2MTransformation2
Time,13,BATCH_OPTIMIZED-TEMPLATE,5,2,194153,BasicXform,StatisticBasedCase,16,Modification
Memory,13,BATCH_OPTIMIZED-TEMPLATE,5,2,20227072,BasicXform,StatisticBasedCase,16,Modification
Time,14,BATCH_OPTIMIZED-TEMPLATE,5,2,36804913925,BasicXform,StatisticBasedCase,16,M2MTransformation2
Memory,14,BATCH_OPTIMIZED-TEMPLATE,5,2,21179352,BasicXform,StatisticBasedCase,16,M2MTransformation2
PeakMemory,14,BATCH_OPTIMIZED-TEMPLATE,5,2,3375718016,BasicXform,StatisticBasedCase,16,M2MTransformation2
