Size,RunIndex,Tool,PhaseName,MetricName,Sequence,MetricValue,Scenario,Iteration,CaseName
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Modification,Memory,16,680114424,ToolChainPerformance,4,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation2,Time,17,88558876,ToolChainPerformance,4,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation2,Memory,17,740577016,ToolChainPerformance,4,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,M2TTransformation2,Time,18,2303013602,ToolChainPerformance,4,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,M2TTransformation2,Memory,18,431819016,ToolChainPerformance,4,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Modification,Time,19,296065,ToolChainPerformance,5,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Modification,Memory,19,431819016,ToolChainPerformance,5,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation2,Time,20,94530407,ToolChainPerformance,5,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation2,Memory,20,493127968,ToolChainPerformance,5,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,M2TTransformation2,Time,21,2189354636,ToolChainPerformance,5,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,M2TTransformation2,Memory,21,1237569680,ToolChainPerformance,5,StatisticBasedCase
8,5,BATCH_OPTIMIZED-TEMPLATE,EMFResourceInitialization,Time,1,815452,ToolChainPerformance,1,StatisticBasedCase
8,5,BATCH_OPTIMIZED-TEMPLATE,EMFResourceInitialization,Memory,1,52459032,ToolChainPerformance,1,StatisticBasedCase
8,5,BATCH_OPTIMIZED-TEMPLATE,Generation,Time,2,1084452380,ToolChainPerformance,1,StatisticBasedCase
8,5,BATCH_OPTIMIZED-TEMPLATE,Generation,Memory,2,524313672,ToolChainPerformance,1,StatisticBasedCase
8,5,BATCH_OPTIMIZED-TEMPLATE,Initialization,Time,3,11694,ToolChainPerformance,1,StatisticBasedCase
8,5,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation1,Time,4,7300547839,ToolChainPerformance,1,StatisticBasedCase
8,5,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation1,Memory,4,121401144,ToolChainPerformance,1,StatisticBasedCase
8,5,BATCH_OPTIMIZED-TEMPLATE,M2TTransformation1,Time,5,2630665975,ToolChainPerformance,1,StatisticBasedCase
8,5,BATCH_OPTIMIZED-TEMPLATE,M2TTransformation1,Memory,5,834333000,ToolChainPerformance,1,StatisticBasedCase
8,5,BATCH_OPTIMIZED-TEMPLATE,EmptyChangeMonitorInitialization,Time,6,211,ToolChainPerformance,1,StatisticBasedCase
8,5,BATCH_OPTIMIZED-TEMPLATE,EmptyChangeMonitorInitialization,Memory,6,834333000,ToolChainPerformance,1,StatisticBasedCase
8,5,BATCH_OPTIMIZED-TEMPLATE,Modification,Time,7,178492,ToolChainPerformance,1,StatisticBasedCase
8,5,BATCH_OPTIMIZED-TEMPLATE,Modification,Memory,7,834333000,ToolChainPerformance,1,StatisticBasedCase
8,5,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,Time,8,7456035496,ToolChainPerformance,1,StatisticBasedCase
8,5,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,Memory,8,1219622376,ToolChainPerformance,1,StatisticBasedCase
8,5,BATCH_OPTIMIZED-TEMPLATE,M2TTransformation2,Time,9,4229171882,ToolChainPerformance,1,StatisticBasedCase
8,5,BATCH_OPTIMIZED-TEMPLATE,M2TTransformation2,Memory,9,596132976,ToolChainPerformance,1,StatisticBasedCase
