RunIndex,MetricValue,PhaseName,Sequence,MetricName,Iteration,Tool,Scenario,Size,CaseName
1,36633112,M2MTransformation2,10,AverageMemory,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,36633112,M2MTransformation2,10,PeakMemory,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,230937,Modification,11,Time,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,15164200,Modification,11,Memory,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,45055403,M2MTransformation2,12,Time,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,15297680,M2MTransformation2,12,Memory,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,36639856,M2MTransformation2,12,PeakMemory,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,36639856,M2MTransformation2,12,AverageMemory,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,271468,Modification,13,Time,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,15299296,Modification,13,Memory,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,38742603,M2MTransformation2,14,Time,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,15308760,M2MTransformation2,14,Memory,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,36774928,M2MTransformation2,14,PeakMemory,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
1,36774928,M2MTransformation2,14,AverageMemory,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4,StatisticBasedCase
3,743845,EMFResourceInitialization,1,Time,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,9676944,EMFResourceInitialization,1,Memory,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,3867111076,Generation,2,Time,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,99689224,Generation,2,Memory,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,493013401,Initialization,3,Time,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,58058664,Initialization,3,Memory,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,235421272,Initialization,3,PeakMemory,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,144809136,Initialization,3,AverageMemory,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,376175966,M2MTransformation1,4,Time,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,68120760,M2MTransformation1,4,Memory,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,148671436,M2MTransformation1,4,AverageMemory,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,218942032,M2MTransformation1,4,PeakMemory,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,4144727,Modification,5,Time,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,68487200,Modification,5,Memory,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,36889,M2MTransformation2,6,Time,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,68488072,M2MTransformation2,6,Memory,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,131779280,M2MTransformation2,6,PeakMemory,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,110304424,M2MTransformation2,6,AverageMemory,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,1309119,Modification,7,Time,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,68515312,Modification,7,Memory,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,14449,M2MTransformation2,8,Time,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,68516184,M2MTransformation2,8,Memory,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,110332536,M2MTransformation2,8,PeakMemory,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,89424460,M2MTransformation2,8,AverageMemory,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,1191497,Modification,9,Time,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,68535368,Modification,9,Memory,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,17279,M2MTransformation2,10,Time,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,68536240,M2MTransformation2,10,Memory,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,110352592,M2MTransformation2,10,AverageMemory,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,110352592,M2MTransformation2,10,PeakMemory,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,1362762,Modification,11,Time,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,68555984,Modification,11,Memory,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,19138,M2MTransformation2,12,Time,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,68556880,M2MTransformation2,12,Memory,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,89465156,M2MTransformation2,12,AverageMemory,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,110373232,M2MTransformation2,12,PeakMemory,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,1469208,Modification,13,Time,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,68576112,Modification,13,Memory,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,14854,M2MTransformation2,14,Time,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,68576984,M2MTransformation2,14,Memory,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,110393336,M2MTransformation2,14,PeakMemory,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
3,110393336,M2MTransformation2,14,AverageMemory,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,16,StatisticBasedCase
