Sequence,RunIndex,CaseName,Size,Scenario,MetricName,Tool,MetricValue,Iteration,PhaseName
14,2,StatisticBasedCase,16,BasicXform,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,2428900488,5,M2MTransformation2
14,2,StatisticBasedCase,16,BasicXform,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,965635811,5,M2MTransformation2
1,2,StatisticBasedCase,2,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,985433,1,EMFResourceInitialization
1,2,StatisticBasedCase,2,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,11084504,1,EMFResourceInitialization
2,2,StatisticBasedCase,2,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,253145990,1,Generation
2,2,StatisticBasedCase,2,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,16153952,1,Generation
3,2,StatisticBasedCase,2,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5021097,1,Initialization
3,2,StatisticBasedCase,2,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,11340688,1,Initialization
3,2,StatisticBasedCase,2,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32808096,1,Initialization
3,2,StatisticBasedCase,2,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,54293440,1,Initialization
4,2,StatisticBasedCase,2,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,253194263,1,M2MTransformation1
4,2,StatisticBasedCase,2,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,12844544,1,M2MTransformation1
4,2,StatisticBasedCase,2,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,65054596,1,M2MTransformation1
4,2,StatisticBasedCase,2,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,97282648,1,M2MTransformation1
5,2,StatisticBasedCase,2,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,186559,1,Modification
5,2,StatisticBasedCase,2,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,12845320,1,Modification
6,2,StatisticBasedCase,2,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,82378163,1,M2MTransformation2
6,2,StatisticBasedCase,2,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,13096320,1,M2MTransformation2
6,2,StatisticBasedCase,2,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,77301912,1,M2MTransformation2
6,2,StatisticBasedCase,2,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,55816556,1,M2MTransformation2
7,2,StatisticBasedCase,2,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,133447,2,Modification
7,2,StatisticBasedCase,2,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,13097008,2,Modification
8,2,StatisticBasedCase,2,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,74953703,2,M2MTransformation2
8,2,StatisticBasedCase,2,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,13107728,2,M2MTransformation2
