Size,Tool,PhaseName,MetricName,Sequence,RunIndex,CaseName,MetricValue,Iteration,Scenario
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,Memory,12,1,StatisticBasedCase,28588408,4,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,PeakMemory,12,1,StatisticBasedCase,325132856,4,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,AverageMemory,12,1,StatisticBasedCase,198039436,4,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Modification,Time,13,1,StatisticBasedCase,172208,5,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Modification,Memory,13,1,StatisticBasedCase,28588608,5,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,Time,14,1,StatisticBasedCase,273184850,5,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,Memory,14,1,StatisticBasedCase,28596120,5,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,AverageMemory,14,1,StatisticBasedCase,198047240,5,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,PeakMemory,14,1,StatisticBasedCase,325140656,5,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,EMFResourceInitialization,Time,1,2,StatisticBasedCase,176512,1,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,EMFResourceInitialization,Memory,1,2,StatisticBasedCase,11232744,1,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,Generation,Time,2,2,StatisticBasedCase,4130598211,1,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,Generation,Memory,2,2,StatisticBasedCase,193811304,1,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,Initialization,Time,3,2,StatisticBasedCase,37075,1,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,Initialization,Memory,3,2,StatisticBasedCase,13930776,1,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,Initialization,PeakMemory,3,2,StatisticBasedCase,56297408,1,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,Initialization,AverageMemory,3,2,StatisticBasedCase,35114192,1,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation1,Time,4,2,StatisticBasedCase,37582619105,1,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation1,Memory,4,2,StatisticBasedCase,17829688,1,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation1,PeakMemory,4,2,StatisticBasedCase,3479823056,1,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation1,AverageMemory,4,2,StatisticBasedCase,1231781845,1,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,Modification,Time,5,2,StatisticBasedCase,389048,1,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,Modification,Memory,5,2,StatisticBasedCase,17829808,1,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,Time,6,2,StatisticBasedCase,35472649490,1,BasicXform
