MetricValue,CaseName,RunIndex,PhaseName,Sequence,MetricName,Scenario,Iteration,Tool,Size
13137168,StatisticBasedCase,5,M2MTransformation2,14,Memory,BasicXform,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,2
478614,StatisticBasedCase,3,EMFResourceInitialization,1,Time,BasicXform,1,INCR_VIATRA_AGGREGATED-TEMPLATE,8
11215296,StatisticBasedCase,3,EMFResourceInitialization,1,Memory,BasicXform,1,INCR_VIATRA_AGGREGATED-TEMPLATE,8
776695386,StatisticBasedCase,3,Generation,2,Time,BasicXform,1,INCR_VIATRA_AGGREGATED-TEMPLATE,8
63711224,StatisticBasedCase,3,Generation,2,Memory,BasicXform,1,INCR_VIATRA_AGGREGATED-TEMPLATE,8
176953121,StatisticBasedCase,3,Initialization,3,Time,BasicXform,1,INCR_VIATRA_AGGREGATED-TEMPLATE,8
140316630,StatisticBasedCase,3,M2MTransformation1,4,Time,BasicXform,1,INCR_VIATRA_AGGREGATED-TEMPLATE,8
53968016,StatisticBasedCase,3,M2MTransformation1,4,Memory,BasicXform,1,INCR_VIATRA_AGGREGATED-TEMPLATE,8
659896,StatisticBasedCase,3,Modification,5,Time,BasicXform,1,INCR_VIATRA_AGGREGATED-TEMPLATE,8
53996776,StatisticBasedCase,3,Modification,5,Memory,BasicXform,1,INCR_VIATRA_AGGREGATED-TEMPLATE,8
28123553,StatisticBasedCase,3,M2MTransformation2,6,Time,BasicXform,1,INCR_VIATRA_AGGREGATED-TEMPLATE,8
54702944,StatisticBasedCase,3,M2MTransformation2,6,Memory,BasicXform,1,INCR_VIATRA_AGGREGATED-TEMPLATE,8
489088,StatisticBasedCase,3,Modification,7,Time,BasicXform,2,INCR_VIATRA_AGGREGATED-TEMPLATE,8
54677904,StatisticBasedCase,3,Modification,7,Memory,BasicXform,2,INCR_VIATRA_AGGREGATED-TEMPLATE,8
24465044,StatisticBasedCase,3,M2MTransformation2,8,Time,BasicXform,2,INCR_VIATRA_AGGREGATED-TEMPLATE,8
54764528,StatisticBasedCase,3,M2MTransformation2,8,Memory,BasicXform,2,INCR_VIATRA_AGGREGATED-TEMPLATE,8
486753,StatisticBasedCase,3,Modification,9,Time,BasicXform,3,INCR_VIATRA_AGGREGATED-TEMPLATE,8
54794432,StatisticBasedCase,3,Modification,9,Memory,BasicXform,3,INCR_VIATRA_AGGREGATED-TEMPLATE,8
25215307,StatisticBasedCase,3,M2MTransformation2,10,Time,BasicXform,3,INCR_VIATRA_AGGREGATED-TEMPLATE,8
54831976,StatisticBasedCase,3,M2MTransformation2,10,Memory,BasicXform,3,INCR_VIATRA_AGGREGATED-TEMPLATE,8
501420,StatisticBasedCase,3,Modification,11,Time,BasicXform,4,INCR_VIATRA_AGGREGATED-TEMPLATE,8
54862064,StatisticBasedCase,3,Modification,11,Memory,BasicXform,4,INCR_VIATRA_AGGREGATED-TEMPLATE,8
24125078,StatisticBasedCase,3,M2MTransformation2,12,Time,BasicXform,4,INCR_VIATRA_AGGREGATED-TEMPLATE,8
54900272,StatisticBasedCase,3,M2MTransformation2,12,Memory,BasicXform,4,INCR_VIATRA_AGGREGATED-TEMPLATE,8
479083,StatisticBasedCase,3,Modification,13,Time,BasicXform,5,INCR_VIATRA_AGGREGATED-TEMPLATE,8
54930496,StatisticBasedCase,3,Modification,13,Memory,BasicXform,5,INCR_VIATRA_AGGREGATED-TEMPLATE,8
23216631,StatisticBasedCase,3,M2MTransformation2,14,Time,BasicXform,5,INCR_VIATRA_AGGREGATED-TEMPLATE,8
54967968,StatisticBasedCase,3,M2MTransformation2,14,Memory,BasicXform,5,INCR_VIATRA_AGGREGATED-TEMPLATE,8
459211,StatisticBasedCase,4,EMFResourceInitialization,1,Time,BasicXform,1,BATCH_SIMPLE-TEMPLATE,2
10922672,StatisticBasedCase,4,EMFResourceInitialization,1,Memory,BasicXform,1,BATCH_SIMPLE-TEMPLATE,2
177016189,StatisticBasedCase,4,Generation,2,Time,BasicXform,1,BATCH_SIMPLE-TEMPLATE,2
14824672,StatisticBasedCase,4,Generation,2,Memory,BasicXform,1,BATCH_SIMPLE-TEMPLATE,2
32516,StatisticBasedCase,4,Initialization,3,Time,BasicXform,1,BATCH_SIMPLE-TEMPLATE,2
2969299541,StatisticBasedCase,4,M2MTransformation1,4,Time,BasicXform,1,BATCH_SIMPLE-TEMPLATE,2
11340088,StatisticBasedCase,4,M2MTransformation1,4,Memory,BasicXform,1,BATCH_SIMPLE-TEMPLATE,2
77915,StatisticBasedCase,4,Modification,5,Time,BasicXform,1,BATCH_SIMPLE-TEMPLATE,2
11340584,StatisticBasedCase,4,Modification,5,Memory,BasicXform,1,BATCH_SIMPLE-TEMPLATE,2
2846043168,StatisticBasedCase,4,M2MTransformation2,6,Time,BasicXform,1,BATCH_SIMPLE-TEMPLATE,2
11341608,StatisticBasedCase,4,M2MTransformation2,6,Memory,BasicXform,1,BATCH_SIMPLE-TEMPLATE,2
73891,StatisticBasedCase,4,Modification,7,Time,BasicXform,2,BATCH_SIMPLE-TEMPLATE,2
11342104,StatisticBasedCase,4,Modification,7,Memory,BasicXform,2,BATCH_SIMPLE-TEMPLATE,2
2868988648,StatisticBasedCase,4,M2MTransformation2,8,Time,BasicXform,2,BATCH_SIMPLE-TEMPLATE,2
11343128,StatisticBasedCase,4,M2MTransformation2,8,Memory,BasicXform,2,BATCH_SIMPLE-TEMPLATE,2
57264,StatisticBasedCase,4,Modification,9,Time,BasicXform,3,BATCH_SIMPLE-TEMPLATE,2
11343664,StatisticBasedCase,4,Modification,9,Memory,BasicXform,3,BATCH_SIMPLE-TEMPLATE,2
3087095773,StatisticBasedCase,4,M2MTransformation2,10,Time,BasicXform,3,BATCH_SIMPLE-TEMPLATE,2
11344728,StatisticBasedCase,4,M2MTransformation2,10,Memory,BasicXform,3,BATCH_SIMPLE-TEMPLATE,2
114218,StatisticBasedCase,4,Modification,11,Time,BasicXform,4,BATCH_SIMPLE-TEMPLATE,2
11345248,StatisticBasedCase,4,Modification,11,Memory,BasicXform,4,BATCH_SIMPLE-TEMPLATE,2
3070328118,StatisticBasedCase,4,M2MTransformation2,12,Time,BasicXform,4,BATCH_SIMPLE-TEMPLATE,2
11346464,StatisticBasedCase,4,M2MTransformation2,12,Memory,BasicXform,4,BATCH_SIMPLE-TEMPLATE,2
58084,StatisticBasedCase,4,Modification,13,Time,BasicXform,5,BATCH_SIMPLE-TEMPLATE,2
11346960,StatisticBasedCase,4,Modification,13,Memory,BasicXform,5,BATCH_SIMPLE-TEMPLATE,2
2985709970,StatisticBasedCase,4,M2MTransformation2,14,Time,BasicXform,5,BATCH_SIMPLE-TEMPLATE,2
11347984,StatisticBasedCase,4,M2MTransformation2,14,Memory,BasicXform,5,BATCH_SIMPLE-TEMPLATE,2
474752,StatisticBasedCase,3,EMFResourceInitialization,1,Time,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,1
11067432,StatisticBasedCase,3,EMFResourceInitialization,1,Memory,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,1
133872950,StatisticBasedCase,3,Generation,2,Time,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,1
13261600,StatisticBasedCase,3,Generation,2,Memory,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,1
3439577,StatisticBasedCase,3,Initialization,3,Time,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,1
403618667,StatisticBasedCase,3,M2MTransformation1,4,Time,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,1
12068712,StatisticBasedCase,3,M2MTransformation1,4,Memory,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,1
184199,StatisticBasedCase,3,Modification,5,Time,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,1
12069720,StatisticBasedCase,3,Modification,5,Memory,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,1
207289913,StatisticBasedCase,3,M2MTransformation2,6,Time,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,1
