Tool,Size,RunIndex,MetricValue,Iteration,Scenario,Sequence,MetricName,PhaseName,CaseName
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,42295360,2,BasicXform,8,AverageMemory,M2MTransformation2,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,42295360,2,BasicXform,8,PeakMemory,M2MTransformation2,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,1818331,3,BasicXform,9,Time,Modification,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,20849952,3,BasicXform,9,Memory,Modification,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,17301,3,BasicXform,10,Time,M2MTransformation2,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,20850824,3,BasicXform,10,Memory,M2MTransformation2,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,42325632,3,BasicXform,10,PeakMemory,M2MTransformation2,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,42325632,3,BasicXform,10,AverageMemory,M2MTransformation2,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,1801096,4,BasicXform,11,Time,Modification,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,20891856,4,BasicXform,11,Memory,Modification,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,15411,4,BasicXform,12,Time,M2MTransformation2,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,20892752,4,BasicXform,12,Memory,M2MTransformation2,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,42367560,4,BasicXform,12,PeakMemory,M2MTransformation2,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,31630256,4,BasicXform,12,AverageMemory,M2MTransformation2,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,1879769,5,BasicXform,13,Time,Modification,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,20930920,5,BasicXform,13,Memory,Modification,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,17953,5,BasicXform,14,Time,M2MTransformation2,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,20931792,5,BasicXform,14,Memory,M2MTransformation2,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,42406600,5,BasicXform,14,PeakMemory,M2MTransformation2,StatisticBasedCase
INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,42406600,5,BasicXform,14,AverageMemory,M2MTransformation2,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,4,1,179895,1,BasicXform,1,Time,EMFResourceInitialization,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,4,1,9385320,1,BasicXform,1,Memory,EMFResourceInitialization,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,4,1,276242094,1,BasicXform,2,Time,Generation,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,4,1,16661400,1,BasicXform,2,Memory,Generation,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,4,1,12017,1,BasicXform,3,Time,Initialization,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,4,1,9881960,1,BasicXform,3,Memory,Initialization,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,4,1,31356400,1,BasicXform,3,PeakMemory,Initialization,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,4,1,20619280,1,BasicXform,3,AverageMemory,Initialization,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,4,1,2114054624,1,BasicXform,4,Time,M2MTransformation1,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,4,1,10705608,1,BasicXform,4,Memory,M2MTransformation1,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,4,1,1084541336,1,BasicXform,4,PeakMemory,M2MTransformation1,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,4,1,303107496,1,BasicXform,4,AverageMemory,M2MTransformation1,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,4,1,116519,1,BasicXform,5,Time,Modification,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,4,1,10705696,1,BasicXform,5,Memory,Modification,StatisticBasedCase
