MetricName,MetricValue,Tool,PhaseName,Scenario,Sequence,RunIndex,CaseName,Iteration,Size
Memory,12820432,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,BasicXform,9,2,StatisticBasedCase,3,1
Time,18213460,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,BasicXform,10,2,StatisticBasedCase,3,1
Memory,12829768,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,BasicXform,10,2,StatisticBasedCase,3,1
AverageMemory,34296064,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,BasicXform,10,2,StatisticBasedCase,3,1
PeakMemory,34296064,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,BasicXform,10,2,StatisticBasedCase,3,1
Time,91226,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,BasicXform,11,2,StatisticBasedCase,4,1
Memory,12830248,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,BasicXform,11,2,StatisticBasedCase,4,1
Time,19614112,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,BasicXform,12,2,StatisticBasedCase,4,1
Memory,12837616,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,BasicXform,12,2,StatisticBasedCase,4,1
AverageMemory,34305904,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,BasicXform,12,2,StatisticBasedCase,4,1
PeakMemory,55780760,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,BasicXform,12,2,StatisticBasedCase,4,1
Time,197667,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,BasicXform,13,2,StatisticBasedCase,5,1
Memory,12838072,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,BasicXform,13,2,StatisticBasedCase,5,1
Time,19884748,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,BasicXform,14,2,StatisticBasedCase,5,1
Memory,12845480,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,BasicXform,14,2,StatisticBasedCase,5,1
AverageMemory,34313704,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,BasicXform,14,2,StatisticBasedCase,5,1
PeakMemory,34313704,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,BasicXform,14,2,StatisticBasedCase,5,1
Time,202158,INCR_VIATRA_TRANSFORMATION-TEMPLATE,EMFResourceInitialization,BasicXform,1,3,StatisticBasedCase,1,4
Memory,9626752,INCR_VIATRA_TRANSFORMATION-TEMPLATE,EMFResourceInitialization,BasicXform,1,3,StatisticBasedCase,1,4
Time,475260564,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Generation,BasicXform,2,3,StatisticBasedCase,1,4
Memory,16627328,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Generation,BasicXform,2,3,StatisticBasedCase,1,4
Time,160449836,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Initialization,BasicXform,3,3,StatisticBasedCase,1,4
Memory,17333928,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Initialization,BasicXform,3,3,StatisticBasedCase,1,4
PeakMemory,74545984,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Initialization,BasicXform,3,3,StatisticBasedCase,1,4
AverageMemory,53071132,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Initialization,BasicXform,3,3,StatisticBasedCase,1,4
Time,118199422,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation1,BasicXform,4,3,StatisticBasedCase,1,4
Memory,20477816,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation1,BasicXform,4,3,StatisticBasedCase,1,4
PeakMemory,92496504,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation1,BasicXform,4,3,StatisticBasedCase,1,4
AverageMemory,71021632,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation1,BasicXform,4,3,StatisticBasedCase,1,4
Time,2108205,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Modification,BasicXform,5,3,StatisticBasedCase,1,4
Memory,20733600,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Modification,BasicXform,5,3,StatisticBasedCase,1,4
Time,18486,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation2,BasicXform,6,3,StatisticBasedCase,1,4
Memory,20734472,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation2,BasicXform,6,3,StatisticBasedCase,1,4
PeakMemory,42209232,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation2,BasicXform,6,3,StatisticBasedCase,1,4
AverageMemory,42209232,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation2,BasicXform,6,3,StatisticBasedCase,1,4
Time,1595522,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Modification,BasicXform,7,3,StatisticBasedCase,2,4
Memory,20751552,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Modification,BasicXform,7,3,StatisticBasedCase,2,4
