MetricName,Iteration,Size,Scenario,PhaseName,CaseName,MetricValue,RunIndex,Tool,Sequence
AverageMemory,2,32,BasicXform,M2MTransformation2,StatisticBasedCase,589387864,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8
Time,3,32,BasicXform,Modification,StatisticBasedCase,1840780,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,9
Memory,3,32,BasicXform,Modification,StatisticBasedCase,551855192,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,9
Time,3,32,BasicXform,M2MTransformation2,StatisticBasedCase,15356,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,10
Memory,3,32,BasicXform,M2MTransformation2,StatisticBasedCase,551856240,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,10
AverageMemory,3,32,BasicXform,M2MTransformation2,StatisticBasedCase,569504360,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,10
PeakMemory,3,32,BasicXform,M2MTransformation2,StatisticBasedCase,615988320,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,10
Time,4,32,BasicXform,Modification,StatisticBasedCase,1148757,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,11
Memory,4,32,BasicXform,Modification,StatisticBasedCase,551894824,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,11
Time,4,32,BasicXform,M2MTransformation2,StatisticBasedCase,13247,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,12
Memory,4,32,BasicXform,M2MTransformation2,StatisticBasedCase,551895696,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,12
PeakMemory,4,32,BasicXform,M2MTransformation2,StatisticBasedCase,616028008,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,12
AverageMemory,4,32,BasicXform,M2MTransformation2,StatisticBasedCase,583961952,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,12
Time,5,32,BasicXform,Modification,StatisticBasedCase,1013262,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,13
Memory,5,32,BasicXform,Modification,StatisticBasedCase,551934272,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,13
Time,5,32,BasicXform,M2MTransformation2,StatisticBasedCase,13820,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,14
Memory,5,32,BasicXform,M2MTransformation2,StatisticBasedCase,616359976,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,14
AverageMemory,5,32,BasicXform,M2MTransformation2,StatisticBasedCase,582428496,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,14
PeakMemory,5,32,BasicXform,M2MTransformation2,StatisticBasedCase,616067400,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,14
Time,1,1,BasicXform,EMFResourceInitialization,StatisticBasedCase,243465,1,BATCH_OPTIMIZED-TEMPLATE,1
Memory,1,1,BasicXform,EMFResourceInitialization,StatisticBasedCase,11023448,1,BATCH_OPTIMIZED-TEMPLATE,1
Time,1,1,BasicXform,Generation,StatisticBasedCase,76023248,1,BATCH_OPTIMIZED-TEMPLATE,2
Memory,1,1,BasicXform,Generation,StatisticBasedCase,12537104,1,BATCH_OPTIMIZED-TEMPLATE,2
Time,1,1,BasicXform,Initialization,StatisticBasedCase,11840,1,BATCH_OPTIMIZED-TEMPLATE,3
Memory,1,1,BasicXform,Initialization,StatisticBasedCase,11130472,1,BATCH_OPTIMIZED-TEMPLATE,3
AverageMemory,1,1,BasicXform,Initialization,StatisticBasedCase,21867768,1,BATCH_OPTIMIZED-TEMPLATE,3
PeakMemory,1,1,BasicXform,Initialization,StatisticBasedCase,32604864,1,BATCH_OPTIMIZED-TEMPLATE,3
Time,1,1,BasicXform,M2MTransformation1,StatisticBasedCase,87336869,1,BATCH_OPTIMIZED-TEMPLATE,4
Memory,1,1,BasicXform,M2MTransformation1,StatisticBasedCase,11305064,1,BATCH_OPTIMIZED-TEMPLATE,4
PeakMemory,1,1,BasicXform,M2MTransformation1,StatisticBasedCase,247356416,1,BATCH_OPTIMIZED-TEMPLATE,4
AverageMemory,1,1,BasicXform,M2MTransformation1,StatisticBasedCase,139981096,1,BATCH_OPTIMIZED-TEMPLATE,4
Time,1,1,BasicXform,Modification,StatisticBasedCase,66517,1,BATCH_OPTIMIZED-TEMPLATE,5
Memory,1,1,BasicXform,Modification,StatisticBasedCase,11305176,1,BATCH_OPTIMIZED-TEMPLATE,5
Time,1,1,BasicXform,M2MTransformation2,StatisticBasedCase,91960386,1,BATCH_OPTIMIZED-TEMPLATE,6
Memory,1,1,BasicXform,M2MTransformation2,StatisticBasedCase,11357928,1,BATCH_OPTIMIZED-TEMPLATE,6
PeakMemory,1,1,BasicXform,M2MTransformation2,StatisticBasedCase,247530928,1,BATCH_OPTIMIZED-TEMPLATE,6
AverageMemory,1,1,BasicXform,M2MTransformation2,StatisticBasedCase,140155852,1,BATCH_OPTIMIZED-TEMPLATE,6
Time,2,1,BasicXform,Modification,StatisticBasedCase,65553,1,BATCH_OPTIMIZED-TEMPLATE,7
Memory,2,1,BasicXform,Modification,StatisticBasedCase,11358040,1,BATCH_OPTIMIZED-TEMPLATE,7
Time,2,1,BasicXform,M2MTransformation2,StatisticBasedCase,90600836,1,BATCH_OPTIMIZED-TEMPLATE,8
Memory,2,1,BasicXform,M2MTransformation2,StatisticBasedCase,11415504,1,BATCH_OPTIMIZED-TEMPLATE,8
AverageMemory,2,1,BasicXform,M2MTransformation2,StatisticBasedCase,140208672,1,BATCH_OPTIMIZED-TEMPLATE,8
PeakMemory,2,1,BasicXform,M2MTransformation2,StatisticBasedCase,247583704,1,BATCH_OPTIMIZED-TEMPLATE,8
Time,3,1,BasicXform,Modification,StatisticBasedCase,79183,1,BATCH_OPTIMIZED-TEMPLATE,9
Memory,3,1,BasicXform,Modification,StatisticBasedCase,11415664,1,BATCH_OPTIMIZED-TEMPLATE,9
Time,3,1,BasicXform,M2MTransformation2,StatisticBasedCase,87737211,1,BATCH_OPTIMIZED-TEMPLATE,10
Memory,3,1,BasicXform,M2MTransformation2,StatisticBasedCase,11469232,1,BATCH_OPTIMIZED-TEMPLATE,10
PeakMemory,3,1,BasicXform,M2MTransformation2,StatisticBasedCase,247642632,1,BATCH_OPTIMIZED-TEMPLATE,10
AverageMemory,3,1,BasicXform,M2MTransformation2,StatisticBasedCase,140266948,1,BATCH_OPTIMIZED-TEMPLATE,10
Time,4,1,BasicXform,Modification,StatisticBasedCase,92972,1,BATCH_OPTIMIZED-TEMPLATE,11
Memory,4,1,BasicXform,Modification,StatisticBasedCase,11469368,1,BATCH_OPTIMIZED-TEMPLATE,11
Time,4,1,BasicXform,M2MTransformation2,StatisticBasedCase,89485321,1,BATCH_OPTIMIZED-TEMPLATE,12
Memory,4,1,BasicXform,M2MTransformation2,StatisticBasedCase,11536808,1,BATCH_OPTIMIZED-TEMPLATE,12
PeakMemory,4,1,BasicXform,M2MTransformation2,StatisticBasedCase,247696072,1,BATCH_OPTIMIZED-TEMPLATE,12
AverageMemory,4,1,BasicXform,M2MTransformation2,StatisticBasedCase,140320532,1,BATCH_OPTIMIZED-TEMPLATE,12
Time,5,1,BasicXform,Modification,StatisticBasedCase,97783,1,BATCH_OPTIMIZED-TEMPLATE,13
Memory,5,1,BasicXform,Modification,StatisticBasedCase,11536920,1,BATCH_OPTIMIZED-TEMPLATE,13
Time,5,1,BasicXform,M2MTransformation2,StatisticBasedCase,91459241,1,BATCH_OPTIMIZED-TEMPLATE,14
Memory,5,1,BasicXform,M2MTransformation2,StatisticBasedCase,11593648,1,BATCH_OPTIMIZED-TEMPLATE,14
PeakMemory,5,1,BasicXform,M2MTransformation2,StatisticBasedCase,247764864,1,BATCH_OPTIMIZED-TEMPLATE,14
AverageMemory,5,1,BasicXform,M2MTransformation2,StatisticBasedCase,140388692,1,BATCH_OPTIMIZED-TEMPLATE,14
Time,1,64,BasicXform,EMFResourceInitialization,StatisticBasedCase,452028,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
Memory,1,64,BasicXform,EMFResourceInitialization,StatisticBasedCase,11891672,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
Time,1,64,BasicXform,Generation,StatisticBasedCase,85176575227,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2
Memory,1,64,BasicXform,Generation,StatisticBasedCase,3399862216,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2
Time,1,64,BasicXform,Initialization,StatisticBasedCase,2690312529,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3
Memory,1,64,BasicXform,Initialization,StatisticBasedCase,238855856,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3
PeakMemory,1,64,BasicXform,Initialization,StatisticBasedCase,1207817784,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3
AverageMemory,1,64,BasicXform,Initialization,StatisticBasedCase,629631186,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3
Time,1,64,BasicXform,M2MTransformation1,StatisticBasedCase,1145205847,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4
Memory,1,64,BasicXform,M2MTransformation1,StatisticBasedCase,275632592,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4
AverageMemory,1,64,BasicXform,M2MTransformation1,StatisticBasedCase,987691725,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4
PeakMemory,1,64,BasicXform,M2MTransformation1,StatisticBasedCase,1445313264,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4
Time,1,64,BasicXform,Modification,StatisticBasedCase,985827,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5
Memory,1,64,BasicXform,Modification,StatisticBasedCase,275631992,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5
Time,1,64,BasicXform,M2MTransformation2,StatisticBasedCase,1139059974,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,6
Memory,1,64,BasicXform,M2MTransformation2,StatisticBasedCase,275640480,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,6
PeakMemory,1,64,BasicXform,M2MTransformation2,StatisticBasedCase,1515395376,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,6
AverageMemory,1,64,BasicXform,M2MTransformation2,StatisticBasedCase,1047040621,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,6
Time,2,64,BasicXform,Modification,StatisticBasedCase,531181,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,7
