RunIndex,Scenario,Iteration,MetricValue,PhaseName,Sequence,MetricName,Tool,Size,CaseName
2,BasicXform,1,35110032,M2MTransformation1,4,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
2,BasicXform,1,169302,Modification,5,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
2,BasicXform,1,13964760,Modification,5,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
2,BasicXform,1,29579781,M2MTransformation2,6,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
2,BasicXform,1,13972672,M2MTransformation2,6,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
2,BasicXform,1,56915216,M2MTransformation2,6,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
2,BasicXform,1,35440360,M2MTransformation2,6,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
2,BasicXform,2,144077,Modification,7,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
2,BasicXform,2,13972832,Modification,7,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
2,BasicXform,2,27888841,M2MTransformation2,8,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
2,BasicXform,2,13981152,M2MTransformation2,8,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
2,BasicXform,2,35448432,M2MTransformation2,8,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
2,BasicXform,2,35448432,M2MTransformation2,8,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
2,BasicXform,3,113336,Modification,9,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
2,BasicXform,3,13981312,Modification,9,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
2,BasicXform,3,29460994,M2MTransformation2,10,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
2,BasicXform,3,13991680,M2MTransformation2,10,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
