Scenario,MetricName,Tool,RunIndex,Sequence,Size,MetricValue,PhaseName,Iteration,CaseName
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,14,64,1738266376,M2MTransformation2,5,StatisticBasedCase
BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,14,64,2037466764,M2MTransformation2,5,StatisticBasedCase
BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,14,64,2290648144,M2MTransformation2,5,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,1,32,239959,EMFResourceInitialization,1,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,1,32,11492704,EMFResourceInitialization,1,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,2,32,13721842006,Generation,1,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,2,32,772029048,Generation,1,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,3,32,1133032940,Initialization,1,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,3,32,324061936,Initialization,1,StatisticBasedCase
BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,3,32,570037021,Initialization,1,StatisticBasedCase
BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,3,32,873879680,Initialization,1,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,4,32,279545610,M2MTransformation1,1,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,4,32,361868912,M2MTransformation1,1,StatisticBasedCase
BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,4,32,468602844,M2MTransformation1,1,StatisticBasedCase
BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,4,32,555327648,M2MTransformation1,1,StatisticBasedCase
