Iteration,MetricValue,Size,Sequence,Tool,PhaseName,MetricName,Scenario,RunIndex,CaseName
1,1807032936,64,6,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Time,BasicXform,2,LowSynchCase
1,500888384,64,6,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Memory,BasicXform,2,LowSynchCase
1,1186893821,64,6,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,AverageMemory,BasicXform,2,LowSynchCase
1,1886921672,64,6,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,PeakMemory,BasicXform,2,LowSynchCase
2,154965,64,7,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Time,BasicXform,2,LowSynchCase
2,500893704,64,7,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Memory,BasicXform,2,LowSynchCase
2,1715247507,64,8,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Time,BasicXform,2,LowSynchCase
2,500915888,64,8,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Memory,BasicXform,2,LowSynchCase
2,1909849336,64,8,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,PeakMemory,BasicXform,2,LowSynchCase
2,1219185093,64,8,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,AverageMemory,BasicXform,2,LowSynchCase
3,157619,64,9,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Time,BasicXform,2,LowSynchCase
3,500921424,64,9,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Memory,BasicXform,2,LowSynchCase
3,2277282816,64,10,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Time,BasicXform,2,LowSynchCase
3,500943544,64,10,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Memory,BasicXform,2,LowSynchCase
3,1220076717,64,10,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,AverageMemory,BasicXform,2,LowSynchCase
3,1941086448,64,10,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,PeakMemory,BasicXform,2,LowSynchCase
4,144712,64,11,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Time,BasicXform,2,LowSynchCase
4,500949216,64,11,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Memory,BasicXform,2,LowSynchCase
4,1702358725,64,12,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Time,BasicXform,2,LowSynchCase
