Iteration,Tool,Size,Scenario,RunIndex,PhaseName,Sequence,MetricValue,CaseName,MetricName
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,M2MTransformation2,6,689102832,LowSynchCase,Memory
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,M2MTransformation2,6,2124154140,LowSynchCase,AverageMemory
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,M2MTransformation2,6,4242345656,LowSynchCase,PeakMemory
2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,Modification,7,41285,LowSynchCase,Time
2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,Modification,7,689103664,LowSynchCase,Memory
2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,M2MTransformation2,8,9500934629,LowSynchCase,Time
2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,M2MTransformation2,8,689114016,LowSynchCase,Memory
2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,M2MTransformation2,8,2029804176,LowSynchCase,AverageMemory
2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,M2MTransformation2,8,4299542816,LowSynchCase,PeakMemory
3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,Modification,9,41477,LowSynchCase,Time
3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,Modification,9,689114824,LowSynchCase,Memory
3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,M2MTransformation2,10,9672900667,LowSynchCase,Time
3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,M2MTransformation2,10,689125152,LowSynchCase,Memory
3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,M2MTransformation2,10,4356545720,LowSynchCase,PeakMemory
3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,M2MTransformation2,10,2003729116,LowSynchCase,AverageMemory
