Sequence,Iteration,Scenario,Tool,RunIndex,CaseName,PhaseName,MetricName,Size,MetricValue
3,1,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,Initialization,Time,32,13792
3,1,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,Initialization,Memory,32,17447120
3,1,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,Initialization,PeakMemory,32,80264960
3,1,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,Initialization,AverageMemory,32,48855740
4,1,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,M2MTransformation1,Time,32,128137699498
4,1,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,M2MTransformation1,Memory,32,26192248
4,1,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,M2MTransformation1,PeakMemory,32,3336067200
4,1,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,M2MTransformation1,AverageMemory,32,1033619049
5,1,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,Modification,Time,32,671430
5,1,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,Modification,Memory,32,26192368
6,1,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,M2MTransformation2,Time,32,129919295369
6,1,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,M2MTransformation2,Memory,32,28283392
6,1,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,M2MTransformation2,AverageMemory,32,1039556784
6,1,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,M2MTransformation2,PeakMemory,32,2751892632
7,2,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,Modification,Time,32,474355
7,2,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,Modification,Memory,32,28282528
8,2,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,M2MTransformation2,Time,32,130305225276
8,2,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,M2MTransformation2,Memory,32,30177272
8,2,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,M2MTransformation2,AverageMemory,32,1026166024
8,2,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,M2MTransformation2,PeakMemory,32,2730037528
9,3,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,Modification,Time,32,295034
