Size,CaseName,Iteration,Scenario,Tool,MetricName,PhaseName,Sequence,MetricValue,RunIndex
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,M2MTransformation2,6,2763111318,3
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,M2MTransformation2,6,4277731144,3
128,LowSynchCase,2,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,Modification,7,206676,3
128,LowSynchCase,2,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,Modification,7,1123788192,3
128,LowSynchCase,2,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,M2MTransformation2,8,3809984251,3
128,LowSynchCase,2,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,M2MTransformation2,8,1123810384,3
128,LowSynchCase,2,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,M2MTransformation2,8,4256642016,3
128,LowSynchCase,2,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,M2MTransformation2,8,2513974850,3
128,LowSynchCase,3,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,Modification,9,150211,3
128,LowSynchCase,3,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,Modification,9,1123817024,3
128,LowSynchCase,3,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,M2MTransformation2,10,3810361861,3
128,LowSynchCase,3,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,M2MTransformation2,10,1123839152,3
128,LowSynchCase,3,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,M2MTransformation2,10,4178371880,3
128,LowSynchCase,3,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,M2MTransformation2,10,2520185277,3
128,LowSynchCase,4,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,Modification,11,119061,3
128,LowSynchCase,4,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,Modification,11,1123845824,3
128,LowSynchCase,4,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,M2MTransformation2,12,3813593695,3
128,LowSynchCase,4,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,M2MTransformation2,12,1123868312,3
128,LowSynchCase,4,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,M2MTransformation2,12,4169282032,3
128,LowSynchCase,4,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,M2MTransformation2,12,2516045535,3
128,LowSynchCase,5,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,Modification,13,127659,3
128,LowSynchCase,5,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,Modification,13,1123875272,3
128,LowSynchCase,5,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,M2MTransformation2,14,3794932723,3
128,LowSynchCase,5,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,M2MTransformation2,14,1123897256,3
128,LowSynchCase,5,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,M2MTransformation2,14,2538147446,3
128,LowSynchCase,5,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,M2MTransformation2,14,4225348736,3
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,EMFResourceInitialization,1,287361,1
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,EMFResourceInitialization,1,11198184,1
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,Generation,2,8126644423,1
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,Generation,2,675059368,1
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,Initialization,3,1743516410,1
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,Initialization,3,595142192,1
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,Initialization,3,1266452096,1
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,Initialization,3,685715954,1
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,M2MTransformation1,4,3447426850,1
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,M2MTransformation1,4,1123817104,1
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,M2MTransformation1,4,3148580384,1
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,M2MTransformation1,4,1443418294,1
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,Modification,5,187374,1
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,Modification,5,1123758592,1
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,M2MTransformation2,6,4442119729,1
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,M2MTransformation2,6,1123780968,1
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,M2MTransformation2,6,2764534110,1
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,M2MTransformation2,6,4279095568,1
128,LowSynchCase,2,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,Modification,7,156393,1
128,LowSynchCase,2,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,Modification,7,1123787344,1
128,LowSynchCase,2,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,M2MTransformation2,8,3966328761,1
128,LowSynchCase,2,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,M2MTransformation2,8,1123809504,1
128,LowSynchCase,2,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,M2MTransformation2,8,4257529592,1
128,LowSynchCase,2,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,M2MTransformation2,8,2515169296,1
128,LowSynchCase,3,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,Modification,9,122854,1
128,LowSynchCase,3,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,Modification,9,1123816144,1
128,LowSynchCase,3,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,M2MTransformation2,10,3954710238,1
128,LowSynchCase,3,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,M2MTransformation2,10,1123838272,1
128,LowSynchCase,3,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,M2MTransformation2,10,2521377757,1
128,LowSynchCase,3,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,M2MTransformation2,10,4243372632,1
128,LowSynchCase,4,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,Modification,11,115981,1
128,LowSynchCase,4,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,Modification,11,1123844944,1
128,LowSynchCase,4,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,M2MTransformation2,12,4134798749,1
128,LowSynchCase,4,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,M2MTransformation2,12,1123867432,1
128,LowSynchCase,4,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,M2MTransformation2,12,4234081256,1
128,LowSynchCase,4,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,M2MTransformation2,12,2782637957,1
128,LowSynchCase,5,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,Modification,13,135710,1
128,LowSynchCase,5,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,Modification,13,1123874392,1
128,LowSynchCase,5,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,M2MTransformation2,14,4379449091,1
128,LowSynchCase,5,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,M2MTransformation2,14,1123896344,1
128,LowSynchCase,5,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,M2MTransformation2,14,4291118072,1
128,LowSynchCase,5,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,M2MTransformation2,14,2717668735,1
64,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,EMFResourceInitialization,1,395150,2
64,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,EMFResourceInitialization,1,11186168,2
64,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,Generation,2,3667350057,2
64,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,Generation,2,306244080,2
64,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,Initialization,3,782373753,2
64,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,Initialization,3,253839888,2
64,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,Initialization,3,320035048,2
64,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,Initialization,3,559195336,2
64,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,M2MTransformation1,4,1363130948,2
64,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,M2MTransformation1,4,484071472,2
64,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,M2MTransformation1,4,1478067136,2
64,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,M2MTransformation1,4,971490189,2
64,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,Modification,5,183124,2
64,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,Modification,5,484015536,2
64,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,M2MTransformation2,6,1771530369,2
64,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,M2MTransformation2,6,484062680,2
64,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,M2MTransformation2,6,1165171933,2
64,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,M2MTransformation2,6,1860228760,2
64,LowSynchCase,2,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,Modification,7,178231,2
64,LowSynchCase,2,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,Modification,7,484071640,2
64,LowSynchCase,2,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,M2MTransformation2,8,1739571502,2
64,LowSynchCase,2,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,M2MTransformation2,8,484094800,2
64,LowSynchCase,2,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,M2MTransformation2,8,1171541605,2
64,LowSynchCase,2,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,M2MTransformation2,8,1845350672,2
