Tool,MetricName,CaseName,RunIndex,PhaseName,Sequence,MetricValue,Size,Scenario,Iteration
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,PeakMemory,StatisticBasedCase,2,M2MTransformation2,6,646083160,32,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,AverageMemory,StatisticBasedCase,2,M2MTransformation2,6,389804880,32,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Time,StatisticBasedCase,2,Modification,7,429078,32,BasicXform,2
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Memory,StatisticBasedCase,2,Modification,7,69461624,32,BasicXform,2
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Time,StatisticBasedCase,2,M2MTransformation2,8,544737283,32,BasicXform,2
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Memory,StatisticBasedCase,2,M2MTransformation2,8,69465400,32,BasicXform,2
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,AverageMemory,StatisticBasedCase,2,M2MTransformation2,8,389842776,32,BasicXform,2
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,PeakMemory,StatisticBasedCase,2,M2MTransformation2,8,646153632,32,BasicXform,2
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Time,StatisticBasedCase,2,Modification,9,409597,32,BasicXform,3
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Memory,StatisticBasedCase,2,Modification,9,69465760,32,BasicXform,3
BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Time,StatisticBasedCase,2,M2MTransformation2,10,662734237,32,BasicXform,3
