Iteration,Scenario,MetricName,Size,CaseName,RunIndex,Sequence,PhaseName,Tool,MetricValue
5,BasicXform,AverageMemory,16,StatisticBasedCase,1,14,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,197456560
5,BasicXform,PeakMemory,16,StatisticBasedCase,1,14,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,367966816
1,BasicXform,Time,16,StatisticBasedCase,2,1,EMFResourceInitialization,BATCH_OPTIMIZED-TEMPLATE,232548
1,BasicXform,Memory,16,StatisticBasedCase,2,1,EMFResourceInitialization,BATCH_OPTIMIZED-TEMPLATE,11404184
1,BasicXform,Time,16,StatisticBasedCase,2,2,Generation,BATCH_OPTIMIZED-TEMPLATE,4148395033
1,BasicXform,Memory,16,StatisticBasedCase,2,2,Generation,BATCH_OPTIMIZED-TEMPLATE,155010984
1,BasicXform,Time,16,StatisticBasedCase,2,3,Initialization,BATCH_OPTIMIZED-TEMPLATE,33549
1,BasicXform,Memory,16,StatisticBasedCase,2,3,Initialization,BATCH_OPTIMIZED-TEMPLATE,14101712
1,BasicXform,PeakMemory,16,StatisticBasedCase,2,3,Initialization,BATCH_OPTIMIZED-TEMPLATE,57050904
1,BasicXform,AverageMemory,16,StatisticBasedCase,2,3,Initialization,BATCH_OPTIMIZED-TEMPLATE,35576408
1,BasicXform,Time,16,StatisticBasedCase,2,4,M2MTransformation1,BATCH_OPTIMIZED-TEMPLATE,38817290928
1,BasicXform,Memory,16,StatisticBasedCase,2,4,M2MTransformation1,BATCH_OPTIMIZED-TEMPLATE,18001944
1,BasicXform,PeakMemory,16,StatisticBasedCase,2,4,M2MTransformation1,BATCH_OPTIMIZED-TEMPLATE,3518840456
1,BasicXform,AverageMemory,16,StatisticBasedCase,2,4,M2MTransformation1,BATCH_OPTIMIZED-TEMPLATE,1483999323
1,BasicXform,Time,16,StatisticBasedCase,2,5,Modification,BATCH_OPTIMIZED-TEMPLATE,224146
1,BasicXform,Memory,16,StatisticBasedCase,2,5,Modification,BATCH_OPTIMIZED-TEMPLATE,18002064
1,BasicXform,Time,16,StatisticBasedCase,2,6,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,38204477349
1,BasicXform,Memory,16,StatisticBasedCase,2,6,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,19045624
1,BasicXform,PeakMemory,16,StatisticBasedCase,2,6,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,3305864248
1,BasicXform,AverageMemory,16,StatisticBasedCase,2,6,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,1299664710
2,BasicXform,Time,16,StatisticBasedCase,2,7,Modification,BATCH_OPTIMIZED-TEMPLATE,134037
