RunIndex,MetricName,Sequence,CaseName,PhaseName,Scenario,Size,Tool,MetricValue,Iteration
2,Memory,11,StatisticBasedCase,Modification,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,13998512,4
2,Time,12,StatisticBasedCase,M2MTransformation2,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,27768779,4
2,Memory,12,StatisticBasedCase,M2MTransformation2,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,14006960,4
2,PeakMemory,12,StatisticBasedCase,M2MTransformation2,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,35474136,4
2,AverageMemory,12,StatisticBasedCase,M2MTransformation2,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,35474136,4
2,Time,13,StatisticBasedCase,Modification,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,132866,5
2,Memory,13,StatisticBasedCase,Modification,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,14007120,5
2,Time,14,StatisticBasedCase,M2MTransformation2,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,32551806,5
2,Memory,14,StatisticBasedCase,M2MTransformation2,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,14014728,5
2,AverageMemory,14,StatisticBasedCase,M2MTransformation2,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,35482720,5
2,PeakMemory,14,StatisticBasedCase,M2MTransformation2,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,56957576,5
1,Time,1,StatisticBasedCase,EMFResourceInitialization,BasicXform,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,163154,1
1,Memory,1,StatisticBasedCase,EMFResourceInitialization,BasicXform,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,11449152,1
1,Time,2,StatisticBasedCase,Generation,BasicXform,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,3027940794,1
1,Memory,2,StatisticBasedCase,Generation,BasicXform,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,163468016,1
1,Time,3,StatisticBasedCase,Initialization,BasicXform,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,369550179,1
1,Memory,3,StatisticBasedCase,Initialization,BasicXform,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,90426808,1
1,AverageMemory,3,StatisticBasedCase,Initialization,BasicXform,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,173693268,1
1,PeakMemory,3,StatisticBasedCase,Initialization,BasicXform,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,290734584,1
1,Time,4,StatisticBasedCase,M2MTransformation1,BasicXform,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,289446331,1
1,Memory,4,StatisticBasedCase,M2MTransformation1,BasicXform,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,112065976,1
1,PeakMemory,4,StatisticBasedCase,M2MTransformation1,BasicXform,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,260507208,1
1,AverageMemory,4,StatisticBasedCase,M2MTransformation1,BasicXform,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,196727256,1
1,Time,5,StatisticBasedCase,Modification,BasicXform,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4792360,1
1,Memory,5,StatisticBasedCase,Modification,BasicXform,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,113943504,1
1,Time,6,StatisticBasedCase,M2MTransformation2,BasicXform,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,35476,1
1,Memory,6,StatisticBasedCase,M2MTransformation2,BasicXform,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,113944352,1
1,PeakMemory,6,StatisticBasedCase,M2MTransformation2,BasicXform,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,199413864,1
1,AverageMemory,6,StatisticBasedCase,M2MTransformation2,BasicXform,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,156464168,1
1,Time,7,StatisticBasedCase,Modification,BasicXform,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1461621,2
1,Memory,7,StatisticBasedCase,Modification,BasicXform,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,113980992,2
1,Time,8,StatisticBasedCase,M2MTransformation2,BasicXform,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,83331,2
1,Memory,8,StatisticBasedCase,M2MTransformation2,BasicXform,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,113981840,2
1,PeakMemory,8,StatisticBasedCase,M2MTransformation2,BasicXform,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,199451352,2
1,AverageMemory,8,StatisticBasedCase,M2MTransformation2,BasicXform,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,156501656,2
1,Time,9,StatisticBasedCase,Modification,BasicXform,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1526730,3
1,Memory,9,StatisticBasedCase,Modification,BasicXform,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,114027456,3
1,Time,10,StatisticBasedCase,M2MTransformation2,BasicXform,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,13594,3
1,Memory,10,StatisticBasedCase,M2MTransformation2,BasicXform,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,114028304,3
1,PeakMemory,10,StatisticBasedCase,M2MTransformation2,BasicXform,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,156548120,3
1,AverageMemory,10,StatisticBasedCase,M2MTransformation2,BasicXform,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,135288312,3
1,Time,11,StatisticBasedCase,Modification,BasicXform,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1109460,4
