CaseName,PhaseName,Tool,Scenario,MetricValue,MetricName,Sequence,Iteration,Size,RunIndex
StatisticBasedCase,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,64781664,PeakMemory,10,3,8,1
StatisticBasedCase,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,54044244,AverageMemory,10,3,8,1
StatisticBasedCase,Modification,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,346264,Time,11,4,8,1
StatisticBasedCase,Modification,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,22497176,Memory,11,4,8,1
StatisticBasedCase,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,93460883,Time,12,4,8,1
StatisticBasedCase,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,23217056,Memory,12,4,8,1
StatisticBasedCase,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,65447656,PeakMemory,12,4,8,1
StatisticBasedCase,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,54710244,AverageMemory,12,4,8,1
StatisticBasedCase,Modification,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,362361,Time,13,5,8,1
StatisticBasedCase,Modification,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,23221984,Memory,13,5,8,1
StatisticBasedCase,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,77249020,Time,14,5,8,1
StatisticBasedCase,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,23803920,Memory,14,5,8,1
StatisticBasedCase,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,55435060,AverageMemory,14,5,8,1
StatisticBasedCase,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,66172504,PeakMemory,14,5,8,1
StatisticBasedCase,EMFResourceInitialization,BATCH_SIMPLE-TEMPLATE,BasicXform,163418,Time,1,1,4,2
StatisticBasedCase,EMFResourceInitialization,BATCH_SIMPLE-TEMPLATE,BasicXform,9306784,Memory,1,1,4,2
StatisticBasedCase,Generation,BATCH_SIMPLE-TEMPLATE,BasicXform,371985255,Time,2,1,4,2
StatisticBasedCase,Generation,BATCH_SIMPLE-TEMPLATE,BasicXform,15507744,Memory,2,1,4,2
StatisticBasedCase,Initialization,BATCH_SIMPLE-TEMPLATE,BasicXform,12712,Time,3,1,4,2
StatisticBasedCase,Initialization,BATCH_SIMPLE-TEMPLATE,BasicXform,9800568,Memory,3,1,4,2
StatisticBasedCase,Initialization,BATCH_SIMPLE-TEMPLATE,BasicXform,31275104,PeakMemory,3,1,4,2
StatisticBasedCase,Initialization,BATCH_SIMPLE-TEMPLATE,BasicXform,31275260,AverageMemory,3,1,4,2
StatisticBasedCase,M2MTransformation1,BATCH_SIMPLE-TEMPLATE,BasicXform,21699442378,Time,4,1,4,2
StatisticBasedCase,M2MTransformation1,BATCH_SIMPLE-TEMPLATE,BasicXform,10188160,Memory,4,1,4,2
StatisticBasedCase,M2MTransformation1,BATCH_SIMPLE-TEMPLATE,BasicXform,1438876352,PeakMemory,4,1,4,2
StatisticBasedCase,M2MTransformation1,BATCH_SIMPLE-TEMPLATE,BasicXform,668503812,AverageMemory,4,1,4,2
StatisticBasedCase,Modification,BATCH_SIMPLE-TEMPLATE,BasicXform,122375,Time,5,1,4,2
StatisticBasedCase,Modification,BATCH_SIMPLE-TEMPLATE,BasicXform,10188296,Memory,5,1,4,2
StatisticBasedCase,M2MTransformation2,BATCH_SIMPLE-TEMPLATE,BasicXform,22154745146,Time,6,1,4,2
StatisticBasedCase,M2MTransformation2,BATCH_SIMPLE-TEMPLATE,BasicXform,10190240,Memory,6,1,4,2
StatisticBasedCase,M2MTransformation2,BATCH_SIMPLE-TEMPLATE,BasicXform,1441363840,PeakMemory,6,1,4,2
StatisticBasedCase,M2MTransformation2,BATCH_SIMPLE-TEMPLATE,BasicXform,700503826,AverageMemory,6,1,4,2
StatisticBasedCase,Modification,BATCH_SIMPLE-TEMPLATE,BasicXform,99156,Time,7,2,4,2
StatisticBasedCase,Modification,BATCH_SIMPLE-TEMPLATE,BasicXform,10190344,Memory,7,2,4,2
StatisticBasedCase,M2MTransformation2,BATCH_SIMPLE-TEMPLATE,BasicXform,22486890381,Time,8,2,4,2
StatisticBasedCase,M2MTransformation2,BATCH_SIMPLE-TEMPLATE,BasicXform,10192256,Memory,8,2,4,2
StatisticBasedCase,M2MTransformation2,BATCH_SIMPLE-TEMPLATE,BasicXform,1441423232,PeakMemory,8,2,4,2
StatisticBasedCase,M2MTransformation2,BATCH_SIMPLE-TEMPLATE,BasicXform,634704011,AverageMemory,8,2,4,2
StatisticBasedCase,Modification,BATCH_SIMPLE-TEMPLATE,BasicXform,92608,Time,9,3,4,2
StatisticBasedCase,Modification,BATCH_SIMPLE-TEMPLATE,BasicXform,10192360,Memory,9,3,4,2
StatisticBasedCase,M2MTransformation2,BATCH_SIMPLE-TEMPLATE,BasicXform,23015903280,Time,10,3,4,2
StatisticBasedCase,M2MTransformation2,BATCH_SIMPLE-TEMPLATE,BasicXform,10194272,Memory,10,3,4,2
StatisticBasedCase,M2MTransformation2,BATCH_SIMPLE-TEMPLATE,BasicXform,1441376096,PeakMemory,10,3,4,2
StatisticBasedCase,M2MTransformation2,BATCH_SIMPLE-TEMPLATE,BasicXform,686824458,AverageMemory,10,3,4,2
StatisticBasedCase,Modification,BATCH_SIMPLE-TEMPLATE,BasicXform,99977,Time,11,4,4,2
StatisticBasedCase,Modification,BATCH_SIMPLE-TEMPLATE,BasicXform,10194400,Memory,11,4,4,2
StatisticBasedCase,M2MTransformation2,BATCH_SIMPLE-TEMPLATE,BasicXform,23358113596,Time,12,4,4,2
StatisticBasedCase,M2MTransformation2,BATCH_SIMPLE-TEMPLATE,BasicXform,10196624,Memory,12,4,4,2
StatisticBasedCase,M2MTransformation2,BATCH_SIMPLE-TEMPLATE,BasicXform,1441386352,PeakMemory,12,4,4,2
StatisticBasedCase,M2MTransformation2,BATCH_SIMPLE-TEMPLATE,BasicXform,741809953,AverageMemory,12,4,4,2
StatisticBasedCase,Modification,BATCH_SIMPLE-TEMPLATE,BasicXform,77580,Time,13,5,4,2
StatisticBasedCase,Modification,BATCH_SIMPLE-TEMPLATE,BasicXform,10196752,Memory,13,5,4,2
StatisticBasedCase,M2MTransformation2,BATCH_SIMPLE-TEMPLATE,BasicXform,23841719918,Time,14,5,4,2
StatisticBasedCase,M2MTransformation2,BATCH_SIMPLE-TEMPLATE,BasicXform,10198688,Memory,14,5,4,2
StatisticBasedCase,M2MTransformation2,BATCH_SIMPLE-TEMPLATE,BasicXform,1441372296,PeakMemory,14,5,4,2
StatisticBasedCase,M2MTransformation2,BATCH_SIMPLE-TEMPLATE,BasicXform,707474664,AverageMemory,14,5,4,2
StatisticBasedCase,EMFResourceInitialization,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,265029,Time,1,1,32,5
StatisticBasedCase,EMFResourceInitialization,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,10163704,Memory,1,1,32,5
StatisticBasedCase,Generation,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,14792124004,Time,2,1,32,5
StatisticBasedCase,Generation,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,386074536,Memory,2,1,32,5
StatisticBasedCase,Initialization,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,2282225349,Time,3,1,32,5
StatisticBasedCase,Initialization,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,214630072,Memory,3,1,32,5
StatisticBasedCase,Initialization,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,861195776,PeakMemory,3,1,32,5
StatisticBasedCase,Initialization,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,545891855,AverageMemory,3,1,32,5
